segmentId_DB,ChildID,Age_months_actual,filename,Starttime,Endtime,Major_Choice,Num_Agreement
17030.DB2,3211_1,7.13,20180419_111712_022875,18943,18943.83,Non-canonical syllables,3
16005.DB2,3211_1,7.13,20180419_111712_022875,18947.07,18949.31,Non-canonical syllables,3
17019.DB2,3211_1,7.13,20180419_111712_022875,18950.11,18951.22,Non-canonical syllables,2
16944.DB2,3211_1,7.13,20180419_111712_022875,18957.37,18957.97,Non-canonical syllables,2
16189.DB2,3211_1,7.13,20180419_111712_022875,18971.21,18971.82,Canonical syllables,2
15795.DB2,3211_1,7.13,20180419_111712_022875,18973.76,18974.81,Canonical syllables,3
16258.DB2,3211_1,7.13,20180419_111712_022875,18986.52,18987.12,Non-canonical syllables,2
16444.DB2,3211_1,7.13,20180419_111712_022875,18987.95,18988.55,Non-canonical syllables,2
16383.DB2,3211_1,7.13,20180419_111712_022875,18995.18,18996.06,Non-canonical syllables,2
16568.DB2,3211_1,7.13,20180419_111712_022875,18998.88,19000.05,Canonical syllables,3
17313.DB2,3211_1,7.13,20180419_111712_022875,19000.05,19000.65,Canonical syllables,3
16096.DB2,3211_1,7.13,20180419_111712_022875,19003.38,19007.19,Canonical syllables,3
14843.DB2,3211_1,7.13,20180419_111712_022875,19008.84,19012.15,Canonical syllables,3
16996.DB2,3211_1,7.13,20180419_111712_022875,19013.87,19015.99,Crying,3
15383.DB2,3211_1,7.13,20180419_111712_022875,19017.52,19019.7,Non-canonical syllables,3
16498.DB2,3211_1,7.13,20180419_111712_022875,19020.5,19021.1,None,0
14840.DB2,3211_1,7.13,20180419_111712_022875,19021.9,19022.99,Non-canonical syllables,2
16361.DB2,3211_1,7.13,20180419_111712_022875,19023.79,19024.73,Non-canonical syllables,2
15526.DB2,3211_1,7.13,20180419_111712_022875,19025.75,19026.35,Non-canonical syllables,3
15076.DB2,3211_1,7.13,20180419_111712_022875,19027.15,19027.75,Non-canonical syllables,3
17234.DB2,3211_1,7.13,20180419_111712_022875,19029.84,19031.2,Non-canonical syllables,3
16169.DB2,3211_1,7.13,20180419_111712_022875,19035.17,19036.04,Non-canonical syllables,3
16584.DB2,3211_1,7.13,20180419_111712_022875,19038.8,19039.59,Non-canonical syllables,2
14795.DB2,3211_1,7.13,20180419_111712_022875,19041.18,19042.14,Non-canonical syllables,3
16038.DB2,3211_1,7.13,20180419_111712_022875,19048.96,19049.61,Non-canonical syllables,3
16485.DB2,3211_1,7.13,20180419_111712_022875,19050.97,19051.8,Non-canonical syllables,3
16612.DB2,3211_1,7.13,20180419_111712_022875,19054.79,19055.39,Non-canonical syllables,2
15063.DB2,3211_1,7.13,20180419_111712_022875,19062.04,19062.85,Canonical syllables,3
16538.DB2,3211_1,7.13,20180419_111712_022875,19064.39,19064.99,None,0
14899.DB2,3211_1,7.13,20180419_111712_022875,19069.38,19069.98,Non-canonical syllables,2
16159.DB2,3211_1,7.13,20180419_111712_022875,19070.78,19071.38,Non-canonical syllables,3
15343.DB2,3211_1,7.13,20180419_111712_022875,19073.02,19073.62,Crying,2
17388.DB2,3211_1,7.13,20180419_111712_022875,19075.5,19079.03,Non-canonical syllables,3
16738.DB2,3211_1,7.13,20180419_111712_022875,19080.63,19081.49,Non-canonical syllables,2
16964.DB2,3211_1,7.13,20180419_111712_022875,19094.09,19094.69,Don't mark,2
15039.DB2,3211_1,7.13,20180419_111712_022875,19101.94,19102.65,Non-canonical syllables,2
15957.DB2,3211_1,7.13,20180419_111712_022875,19104.39,19104.99,Don't mark,3
15820.DB2,3211_1,7.13,20180419_111712_022875,19113.7,19114.5,Don't mark,3
16123.DB2,3211_1,7.13,20180419_111712_022875,19127.47,19128.15,Don't mark,3
17236.DB2,3211_1,7.13,20180419_111712_022875,19129.9,19130.51,Don't mark,2
14913.DB2,3211_1,7.13,20180419_111712_022875,19134.76,19135.56,Don't mark,2
15770.DB2,3211_1,7.13,20180419_111712_022875,19752.44,19753.06,Canonical syllables,3
16082.DB2,3211_1,7.13,20180419_111712_022875,19755.36,19756.18,Canonical syllables,3
16811.DB2,3211_1,7.13,20180419_111712_022875,19764.55,19765.2,Canonical syllables,2
16175.DB2,3211_1,7.13,20180419_111712_022875,19767.94,19768.55,Don't mark,2
14955.DB2,3211_1,7.13,20180419_111712_022875,19772.7,19773.51,Non-canonical syllables,3
15041.DB2,3211_1,7.13,20180419_111712_022875,19774.52,19776.66,Canonical syllables,3
14857.DB2,3211_1,7.13,20180419_111712_022875,19777.94,19778.54,Canonical syllables,2
15637.DB2,3211_1,7.13,20180419_111712_022875,19800.73,19801.33,Canonical syllables,3
15719.DB2,3211_1,7.13,20180419_111712_022875,19809.18,19809.79,Canonical syllables,3
16211.DB2,3211_1,7.13,20180419_111712_022875,19810.59,19811.19,Canonical syllables,3
16473.DB2,3211_1,7.13,20180419_111712_022875,19814.53,19815.19,Canonical syllables,2
16310.DB2,3211_1,7.13,20180419_111712_022875,19829.58,19830.38,Canonical syllables,3
16735.DB2,3211_1,7.13,20180419_111712_022875,19831.96,19832.57,Canonical syllables,3
15946.DB2,3211_1,7.13,20180419_111712_022875,19837.91,19838.62,Non-canonical syllables,3
16788.DB2,3211_1,7.13,20180419_111712_022875,19845.89,19847.37,Canonical syllables,2
16998.DB2,3211_1,7.13,20180419_111712_022875,19849.84,19850.44,Non-canonical syllables,3
16833.DB2,3211_1,7.13,20180419_111712_022875,19851.45,19852.58,Non-canonical syllables,2
15589.DB2,3211_1,7.13,20180419_111712_022875,19853.46,19854.46,Canonical syllables,3
15985.DB2,3211_1,7.13,20180419_111712_022875,19855.62,19856.74,Canonical syllables,3
15664.DB2,3211_1,7.13,20180419_111712_022875,19857.66,19858.44,Canonical syllables,3
16548.DB2,3211_1,7.13,20180419_111712_022875,19860.83,19861.84,None,0
16066.DB2,3211_1,7.13,20180419_111712_022875,19873.53,19874.14,Canonical syllables,3
15877.DB2,3211_1,7.13,20180419_111712_022875,19881.8,19882.4,Non-canonical syllables,3
15492.DB2,3211_1,7.13,20180419_111712_022875,19884.02,19884.76,Canonical syllables,3
14959.DB2,3211_1,7.13,20180419_111712_022875,19888.74,19889.55,Canonical syllables,3
16582.DB2,3211_1,7.13,20180419_111712_022875,19918.57,19919.26,Non-canonical syllables,3
16885.DB2,3211_1,7.13,20180419_111712_022875,19919.26,19920.26,Non-canonical syllables,3
16843.DB2,3211_1,7.13,20180419_111712_022875,19921.98,19922.77,Non-canonical syllables,3
16594.DB2,3211_1,7.13,20180419_111712_022875,19923.89,19924.49,Canonical syllables,3
17145.DB2,3211_1,7.13,20180419_111712_022875,19928.73,19929.92,Canonical syllables,2
15793.DB2,3211_1,7.13,20180419_111712_022875,20014.52,20015.51,Canonical syllables,3
15086.DB2,3211_1,7.13,20180419_111712_022875,20016.35,20017,Canonical syllables,3
17396.DB2,3211_1,7.13,20180419_111712_022875,20019,20019.68,Canonical syllables,2
16742.DB2,3211_1,7.13,20180419_111712_022875,20105.29,20106.68,Canonical syllables,3
16316.DB2,3211_1,7.13,20180419_111712_022875,20107.54,20108.17,Canonical syllables,3
15692.DB2,3211_1,7.13,20180419_111712_022875,20109.43,20110.4,Canonical syllables,3
15690.DB2,3211_1,7.13,20180419_111712_022875,20115,20115.6,Non-canonical syllables,3
17331.DB2,3211_1,7.13,20180419_111712_022875,20123.03,20123.65,Canonical syllables,3
15159.DB2,3211_1,7.13,20180419_111712_022875,20162.23,20163.08,Canonical syllables,3
14837.DB2,3211_1,7.13,20180419_111712_022875,20175.64,20176.24,Non-canonical syllables,3
15150.DB2,3211_1,7.13,20180419_111712_022875,20179.44,20180.16,Canonical syllables,3
16443.DB2,3211_1,7.13,20180419_111712_022875,20197.06,20197.66,Canonical syllables,2
16016.DB2,3211_1,7.13,20180419_111712_022875,20202.94,20204.47,Non-canonical syllables,3
15986.DB2,3211_1,7.13,20180419_111712_022875,20205.47,20206.07,Non-canonical syllables,3
15910.DB2,3211_1,7.13,20180419_111712_022875,20206.92,20207.52,Canonical syllables,2
15728.DB2,3211_1,7.13,20180419_111712_022875,20210.72,20212.73,Non-canonical syllables,3
14965.DB2,3211_1,7.13,20180419_111712_022875,20213.53,20214.5,Canonical syllables,2
17377.DB2,3211_1,7.13,20180419_111712_022875,20216.54,20217.81,Canonical syllables,2
16617.DB2,3211_1,7.13,20180419_111712_022875,20222.51,20224.49,Non-canonical syllables,2
15385.DB2,3211_1,7.13,20180419_111712_022875,20231.64,20232.54,Non-canonical syllables,3
15191.DB2,3211_1,7.13,20180419_111712_022875,20233.67,20235.36,Non-canonical syllables,3
16534.DB2,3211_1,7.13,20180419_111712_022875,20242.58,20243.39,Canonical syllables,2
15740.DB2,3211_1,7.13,20180419_111712_022875,20244.88,20245.48,Non-canonical syllables,2
16629.DB2,3211_1,7.13,20180419_111712_022875,20246.89,20247.49,None,0
15736.DB2,3211_1,7.13,20180419_111712_022875,20250.56,20251.49,Non-canonical syllables,3
14710.DB2,3211_1,7.13,20180419_111712_022875,20255.17,20255.97,Non-canonical syllables,2
15459.DB2,3211_1,7.13,20180419_111712_022875,20258.39,20259.47,None,0
15451.DB2,3211_1,7.13,20180419_111712_022875,20259.47,20260.22,Non-canonical syllables,3
16087.DB2,3211_1,7.13,20180419_111712_022875,20263.97,20264.62,Don't mark,3
14906.DB2,3211_1,7.13,20180419_111712_022875,20265.66,20266.55,Non-canonical syllables,2
15905.DB2,3211_1,7.13,20180419_111712_022875,20267.35,20268,Canonical syllables,2
16832.DB2,3211_1,7.13,20180419_111712_022875,20273.7,20274.94,Don't mark,3
