idx,AudioData,Answer,Age,ChildID
161,6004778682,Non-Canonical,420,2931_1
162,6004778682,Junk,420,2931_1
163,6004778682,Canonical,420,2931_1
164,6004778682,Junk,420,2931_1
165,54374342,Canonical,420,2931_1
166,54374342,Canonical,420,2931_1
167,54374342,Non-Canonical,420,2931_1
168,54374342,Crying,420,2931_1
169,54374342,Junk,420,2931_1
170,6761600390,Non-Canonical,420,2931_1
171,6761600390,Non-Canonical,420,2931_1
172,6761600390,Non-Canonical,420,2931_1
173,6761600390,Non-Canonical,420,2931_1
174,6761600390,Non-Canonical,420,2931_1
175,8023022500,Non-Canonical,420,2931_1
176,8023022500,Crying,420,2931_1
177,8023022500,Non-Canonical,420,2931_1
178,8023022500,Junk,420,2931_1
179,8023022500,Non-Canonical,420,2931_1
180,6145836280,Junk,420,2931_1
181,6145836280,Junk,420,2931_1
182,6145836280,Junk,420,2931_1
183,6145836280,Junk,420,2931_1
184,6145836280,Junk,420,2931_1
185,1455825881,Non-Canonical,420,2931_1
186,1455825881,Crying,420,2931_1
187,1455825881,Junk,420,2931_1
188,1455825881,Non-Canonical,420,2931_1
189,1455825881,Non-Canonical,420,2931_1
190,5319058926,Non-Canonical,420,2931_1
191,5319058926,Non-Canonical,420,2931_1
192,5319058926,Junk,420,2931_1
193,5319058926,Non-Canonical,420,2931_1
194,5319058926,Non-Canonical,420,2931_1
195,7469616034,Laughing,420,2931_1
196,7469616034,Junk,420,2931_1
197,7469616034,Junk,420,2931_1
198,7469616034,Non-Canonical,420,2931_1
199,7469616034,Non-Canonical,420,2931_1
200,6391112791,Junk,420,2931_1
201,6391112791,Junk,420,2931_1
202,6391112791,Canonical,420,2931_1
203,6391112791,Canonical,420,2931_1
204,6391112791,Junk,420,2931_1
205,9819230102,Junk,420,2931_1
206,9819230102,Junk,420,2931_1
207,9819230102,Non-Canonical,420,2931_1
208,9819230102,Non-Canonical,420,2931_1
209,9819230102,Non-Canonical,420,2931_1
210,4172184270,Non-Canonical,420,2931_1
211,4172184270,Non-Canonical,420,2931_1
212,4172184270,Non-Canonical,420,2931_1
213,4172184270,Crying,420,2931_1
214,4172184270,Non-Canonical,420,2931_1
215,1146769066,Non-Canonical,420,2931_1
216,1146769066,Junk,420,2931_1
217,1146769066,Junk,420,2931_1
218,1146769066,Junk,420,2931_1
219,1146769066,Junk,420,2931_1
220,6798656107,Junk,420,2931_1
221,6798656107,Non-Canonical,420,2931_1
222,6798656107,Canonical,420,2931_1
223,6798656107,Junk,420,2931_1
224,6798656107,Non-Canonical,420,2931_1
225,521416489,Non-Canonical,420,2931_1
226,521416489,Non-Canonical,420,2931_1
227,521416489,Crying,420,2931_1
228,521416489,Non-Canonical,420,2931_1
229,521416489,Crying,420,2931_1
230,3832072413,Non-Canonical,420,2931_1
231,3832072413,Canonical,420,2931_1
232,3832072413,Non-Canonical,420,2931_1
233,3832072413,Junk,420,2931_1
234,3832072413,Junk,420,2931_1
235,5428336210,Laughing,420,2931_1
236,5428336210,Non-Canonical,420,2931_1
237,5428336210,Non-Canonical,420,2931_1
238,5428336210,Non-Canonical,420,2931_1
239,5428336210,Canonical,420,2931_1
240,4423087631,Non-Canonical,420,2931_1
241,4423087631,Canonical,420,2931_1
242,4423087631,Non-Canonical,420,2931_1
243,4423087631,Non-Canonical,420,2931_1
244,4423087631,Non-Canonical,420,2931_1
245,976835309,Non-Canonical,420,2931_1
246,976835309,Non-Canonical,420,2931_1
247,976835309,Non-Canonical,420,2931_1
248,976835309,Laughing,420,2931_1
249,976835309,Non-Canonical,420,2931_1
250,8158246132,Non-Canonical,420,2931_1
251,8158246132,Non-Canonical,420,2931_1
252,8158246132,Canonical,420,2931_1
253,8158246132,Non-Canonical,420,2931_1
254,8158246132,Canonical,420,2931_1
255,3416101664,Junk,420,2931_1
256,3416101664,Non-Canonical,420,2931_1
257,3416101664,Junk,420,2931_1
258,3416101664,Junk,420,2931_1
259,3416101664,Junk,420,2931_1
260,7094536068,Non-Canonical,420,2931_1
261,7094536068,Non-Canonical,420,2931_1
262,7094536068,Non-Canonical,420,2931_1
263,7094536068,Crying,420,2931_1
264,7094536068,Non-Canonical,420,2931_1
265,3710786480,Non-Canonical,420,2931_1
266,3710786480,Canonical,420,2931_1
267,3710786480,Non-Canonical,420,2931_1
268,3710786480,Junk,420,2931_1
269,3710786480,Non-Canonical,420,2931_1
270,1207876109,Non-Canonical,420,2931_1
271,1207876109,Non-Canonical,420,2931_1
272,1207876109,Non-Canonical,420,2931_1
273,1207876109,Non-Canonical,420,2931_1
274,1207876109,Laughing,420,2931_1
275,5092791429,Non-Canonical,420,2931_1
276,5092791429,Canonical,420,2931_1
277,5092791429,Canonical,420,2931_1
278,5092791429,Non-Canonical,420,2931_1
279,5092791429,Canonical,420,2931_1
280,6904481744,Non-Canonical,420,2931_1
281,6904481744,Non-Canonical,420,2931_1
282,6904481744,Non-Canonical,420,2931_1
283,6904481744,Non-Canonical,420,2931_1
284,6904481744,Canonical,420,2931_1
285,4574669250,Non-Canonical,420,2931_1
286,4574669250,Junk,420,2931_1
287,4574669250,Laughing,420,2931_1
288,4574669250,Junk,420,2931_1
289,4574669250,Canonical,420,2931_1
290,3574320579,Junk,420,2931_1
291,3574320579,Junk,420,2931_1
292,3574320579,Crying,420,2931_1
293,3574320579,Non-Canonical,420,2931_1
294,3574320579,Non-Canonical,420,2931_1
295,7694961778,Canonical,420,2931_1
296,7694961778,Junk,420,2931_1
297,7694961778,Canonical,420,2931_1
298,7694961778,Non-Canonical,420,2931_1
299,7694961778,Non-Canonical,420,2931_1
300,4309157171,Junk,420,2931_1
301,4309157171,Junk,420,2931_1
302,4309157171,Junk,420,2931_1
303,4309157171,Junk,420,2931_1
304,4309157171,Junk,420,2931_1
305,6132234748,Non-Canonical,420,2931_1
306,6132234748,Junk,420,2931_1
307,6132234748,Non-Canonical,420,2931_1
308,6132234748,Crying,420,2931_1
309,6132234748,Laughing,420,2931_1
310,9799214687,Junk,420,2931_1
311,9799214687,Junk,420,2931_1
312,9799214687,Canonical,420,2931_1
313,9799214687,Canonical,420,2931_1
314,9799214687,Junk,420,2931_1
315,4064093248,Canonical,420,2931_1
316,4064093248,Junk,420,2931_1
317,4064093248,Junk,420,2931_1
318,4064093248,Non-Canonical,420,2931_1
319,4064093248,Laughing,420,2931_1
320,4632506656,Junk,420,2931_1
321,4632506656,Junk,420,2931_1
322,4632506656,Junk,420,2931_1
323,4632506656,Junk,420,2931_1
324,4632506656,Junk,420,2931_1
325,3184712855,Junk,420,2931_1
326,3184712855,Junk,420,2931_1
327,3184712855,Junk,420,2931_1
328,3184712855,Junk,420,2931_1
329,3184712855,Junk,420,2931_1
330,876890514,Junk,420,2931_1
331,876890514,Junk,420,2931_1
332,876890514,Junk,420,2931_1
333,876890514,Junk,420,2931_1
334,876890514,Junk,420,2931_1
335,4335676902,Crying,420,2931_1
336,4335676902,Junk,420,2931_1
337,4335676902,Crying,420,2931_1
338,4335676902,Crying,420,2931_1
339,4335676902,Crying,420,2931_1
340,3363120788,Crying,420,2931_1
341,3363120788,Canonical,420,2931_1
342,3363120788,Canonical,420,2931_1
343,3363120788,Crying,420,2931_1
344,3363120788,Non-Canonical,420,2931_1
345,3919628200,Crying,420,2931_1
346,3919628200,Crying,420,2931_1
347,3919628200,Crying,420,2931_1
348,3919628200,Non-Canonical,420,2931_1
349,3919628200,Crying,420,2931_1
350,747371442,Crying,420,2931_1
351,747371442,Non-Canonical,420,2931_1
352,747371442,Crying,420,2931_1
353,747371442,Crying,420,2931_1
354,747371442,Crying,420,2931_1
355,6996522076,Laughing,420,2931_1
356,6996522076,Non-Canonical,420,2931_1
357,6996522076,Crying,420,2931_1
358,6996522076,Crying,420,2931_1
359,6996522076,Non-Canonical,420,2931_1
360,5552007550,Non-Canonical,420,2931_1
361,5552007550,Non-Canonical,420,2931_1
362,5552007550,Crying,420,2931_1
363,5552007550,Crying,420,2931_1
364,5552007550,Non-Canonical,420,2931_1
365,9492045779,Crying,420,2931_1
366,9492045779,Crying,420,2931_1
367,9492045779,Crying,420,2931_1
368,9492045779,Crying,420,2931_1
369,9492045779,Crying,420,2931_1
370,1025637166,Crying,420,2931_1
371,1025637166,Crying,420,2931_1
372,1025637166,Crying,420,2931_1
373,1025637166,Crying,420,2931_1
374,1025637166,Crying,420,2931_1
375,9034318922,Crying,420,2931_1
376,9034318922,Junk,420,2931_1
377,9034318922,Laughing,420,2931_1
378,9034318922,Non-Canonical,420,2931_1
379,9034318922,Laughing,420,2931_1
380,4460224462,Non-Canonical,420,2931_1
381,4460224462,Crying,420,2931_1
382,4460224462,Canonical,420,2931_1
383,4460224462,Non-Canonical,420,2931_1
384,4460224462,Non-Canonical,420,2931_1
385,4663278742,Junk,420,2931_1
386,4663278742,Non-Canonical,420,2931_1
387,4663278742,Laughing,420,2931_1
388,4663278742,Junk,420,2931_1
389,4663278742,Canonical,420,2931_1
390,8593282238,Junk,420,2931_1
391,8593282238,Non-Canonical,420,2931_1
392,8593282238,Junk,420,2931_1
393,8593282238,Junk,420,2931_1
394,8593282238,Non-Canonical,420,2931_1
395,6746072927,Junk,420,2931_1
396,6746072927,Junk,420,2931_1
397,6746072927,Junk,420,2931_1
398,6746072927,Crying,420,2931_1
399,6746072927,Junk,420,2931_1
400,943499322,Junk,420,2931_1
401,943499322,Junk,420,2931_1
402,943499322,Junk,420,2931_1
403,943499322,Junk,420,2931_1
404,943499322,Junk,420,2931_1
405,9396808791,Non-Canonical,420,2931_1
406,9396808791,Junk,420,2931_1
407,9396808791,Junk,420,2931_1
408,9396808791,Crying,420,2931_1
409,9396808791,Junk,420,2931_1
410,7523001928,Canonical,420,2931_1
411,7523001928,Canonical,420,2931_1
412,7523001928,Canonical,420,2931_1
413,7523001928,Canonical,420,2931_1
414,7523001928,Canonical,420,2931_1
415,6261117567,Junk,420,2931_1
416,6261117567,Canonical,420,2931_1
417,6261117567,Laughing,420,2931_1
418,6261117567,Canonical,420,2931_1
419,6261117567,Non-Canonical,420,2931_1
420,4455893871,Crying,420,2931_1
421,4455893871,Canonical,420,2931_1
422,4455893871,Canonical,420,2931_1
423,4455893871,Laughing,420,2931_1
424,4455893871,Laughing,420,2931_1
425,6010246991,Non-Canonical,420,2931_1
426,6010246991,Non-Canonical,420,2931_1
427,6010246991,Non-Canonical,420,2931_1
428,6010246991,Junk,420,2931_1
429,6010246991,Laughing,420,2931_1
430,3353564081,Non-Canonical,420,2931_1
431,3353564081,Non-Canonical,420,2931_1
432,3353564081,Laughing,420,2931_1
433,3353564081,Non-Canonical,420,2931_1
434,3353564081,Non-Canonical,420,2931_1
435,6911870723,Non-Canonical,420,2931_1
436,6911870723,Junk,420,2931_1
437,6911870723,Non-Canonical,420,2931_1
438,6911870723,Non-Canonical,420,2931_1
439,6911870723,Crying,420,2931_1
440,3853230934,Laughing,420,2931_1
441,3853230934,Laughing,420,2931_1
442,3853230934,Laughing,420,2931_1
443,3853230934,Laughing,420,2931_1
444,3853230934,Non-Canonical,420,2931_1
445,4690988446,Laughing,420,2931_1
446,4690988446,Non-Canonical,420,2931_1
447,4690988446,Canonical,420,2931_1
448,4690988446,Canonical,420,2931_1
449,4690988446,Canonical,420,2931_1
450,6842189996,Non-Canonical,420,2931_1
451,6842189996,Non-Canonical,420,2931_1
452,6842189996,Non-Canonical,420,2931_1
453,6842189996,Canonical,420,2931_1
454,6842189996,Canonical,420,2931_1
455,8028240171,Junk,420,2931_1
456,8028240171,Junk,420,2931_1
457,8028240171,Non-Canonical,420,2931_1
458,8028240171,Non-Canonical,420,2931_1
459,8028240171,Junk,420,2931_1
460,3679242979,Non-Canonical,420,2931_1
461,3679242979,Canonical,420,2931_1
462,3679242979,Junk,420,2931_1
463,3679242979,Canonical,420,2931_1
464,3679242979,Canonical,420,2931_1
465,9563042376,Non-Canonical,420,2931_1
466,9563042376,Non-Canonical,420,2931_1
467,9563042376,Junk,420,2931_1
468,9563042376,Junk,420,2931_1
469,9563042376,Non-Canonical,420,2931_1
470,7804656462,Canonical,420,2931_1
471,7804656462,Canonical,420,2931_1
472,7804656462,Canonical,420,2931_1
473,7804656462,Canonical,420,2931_1
474,7804656462,Canonical,420,2931_1
475,6082102858,Canonical,420,2931_1
476,6082102858,Laughing,420,2931_1
477,6082102858,Canonical,420,2931_1
478,6082102858,Canonical,420,2931_1
479,6082102858,Canonical,420,2931_1
480,6023885629,Non-Canonical,420,2931_1
481,6023885629,Junk,420,2931_1
482,6023885629,Laughing,420,2931_1
483,6023885629,Crying,420,2931_1
484,6023885629,Non-Canonical,420,2931_1
485,3779012444,Crying,420,2931_1
486,3779012444,Canonical,420,2931_1
487,3779012444,Canonical,420,2931_1
488,3779012444,Canonical,420,2931_1
489,3779012444,Non-Canonical,420,2931_1
490,1675709093,Junk,420,2931_1
