idx,segmentId_DB,ChildID,Age,filename,Starttime,Endtime,Major_Choice,Num_Agreement,Zoon_classif
3028,4576.DB1,3131_1,21.26,20181218_132113_024879,30178.71,30179.67,Non-canonical syllables,2,Crying
3029,2873.DB1,3131_1,21.26,20181218_132113_024879,30188.55,30189.16,Non-canonical syllables,3,Non-Canonical
3030,6266.DB1,3131_1,21.26,20181218_132113_024879,30194.91,30197.49,Non-canonical syllables,3,Crying
3031,2845.DB1,3131_1,21.26,20181218_132113_024879,30198.29,30199.96,Non-canonical syllables,3,Non-Canonical
3032,5590.DB1,3131_1,21.26,20181218_132113_024879,30201.21,30201.85,Non-canonical syllables,3,Non-Canonical
3033,4097.DB1,3131_1,21.26,20181218_132113_024879,30204.06,30204.68,Non-canonical syllables,3,Non-Canonical
3034,3711.DB1,3131_1,21.26,20181218_132113_024879,30206.66,30207.79,Non-canonical syllables,2,Non-Canonical
3035,4581.DB1,3131_1,21.26,20181218_132113_024879,30213.0,30213.69,Non-canonical syllables,3,Non-Canonical
3036,4744.DB1,3131_1,21.26,20181218_132113_024879,30215.34,30218.56,Non-canonical syllables,3,Non-Canonical
3037,5116.DB1,3131_1,21.26,20181218_132113_024879,30223.38,30224.45,Don't mark,3,Non-Canonical
3038,5304.DB1,3131_1,21.26,20181218_132113_024879,30226.25,30227.4,Non-canonical syllables,3,Non-Canonical
3039,4782.DB1,3131_1,21.26,20181218_132113_024879,30228.28,30229.53,Non-canonical syllables,3,Non-Canonical
3040,4983.DB1,3131_1,21.26,20181218_132113_024879,30230.33,30231.9,Non-canonical syllables,3,Non-Canonical
3041,6681.DB1,3131_1,21.26,20181218_132113_024879,30235.37,30236.79,Non-canonical syllables,3,Non-Canonical
3042,7067.DB1,3131_1,21.26,20181218_132113_024879,30243.64,30244.26,Non-canonical syllables,2,Non-Canonical
3043,5520.DB1,3131_1,21.26,20181218_132113_024879,30260.39,30263.4,Non-canonical syllables,3,Non-Canonical
3044,3625.DB1,3131_1,21.26,20181218_132113_024879,30264.4,30265.02,Non-canonical syllables,2,Junk
3045,5528.DB1,3131_1,21.26,20181218_132113_024879,30268.18,30269.02,Non-canonical syllables,3,Junk
3046,6385.DB1,3131_1,21.26,20181218_132113_024879,30270.05,30270.65,Non-canonical syllables,3,Non-Canonical
3047,7179.DB1,3131_1,21.26,20181218_132113_024879,30272.39,30273.11,Non-canonical syllables,3,Non-Canonical
3048,3379.DB1,3131_1,21.26,20181218_132113_024879,30274.37,30276.35,Non-canonical syllables,2,Non-Canonical
3049,2942.DB1,3131_1,21.26,20181218_132113_024879,30278.45,30279.05,Non-canonical syllables,2,Non-Canonical
3050,5705.DB1,3131_1,21.26,20181218_132113_024879,30281.23,30282.09,Non-canonical syllables,2,Non-Canonical
3051,6332.DB1,3131_1,21.26,20181218_132113_024879,30288.51,30289.24,Canonical syllables,2,Canonical
3052,2712.DB1,3131_1,21.26,20181218_132113_024879,30296.2,30296.91,Non-canonical syllables,3,Non-Canonical
3053,4653.DB1,3131_1,21.26,20181218_132113_024879,30304.51,30305.11,Non-canonical syllables,3,Crying
3054,6878.DB1,3131_1,21.26,20181218_132113_024879,30305.91,30306.51,Non-canonical syllables,3,Crying
3055,4312.DB1,3131_1,21.26,20181218_132113_024879,30307.33,30309.18,Non-canonical syllables,3,Mixed_Non-Canonical_Crying
3056,6988.DB1,3131_1,21.26,20181218_132113_024879,30312.57,30313.53,Non-canonical syllables,3,Non-Canonical
3057,6885.DB1,3131_1,21.26,20181218_132113_024879,30314.62,30315.47,Non-canonical syllables,2,Non-Canonical
3058,6847.DB1,3131_1,21.26,20181218_132113_024879,30320.12,30320.91,Non-canonical syllables,3,Non-Canonical
3059,5790.DB1,3131_1,21.26,20181218_132113_024879,30322.64,30323.25,Don't mark,3,Non-Canonical
3060,4604.DB1,3131_1,21.26,20181218_132113_024879,30324.05,30324.65,Non-canonical syllables,2,Non-Canonical
3061,6783.DB1,3131_1,21.26,20181218_132113_024879,30326.44,30327.31,Don't mark,3,Non-Canonical
3062,5212.DB1,3131_1,21.26,20181218_132113_024879,30329.71,30330.31,Non-canonical syllables,3,Non-Canonical
3063,6259.DB1,3131_1,21.26,20181218_132113_024879,30332.5,30333.1,Don't mark,2,Non-Canonical
3064,5070.DB1,3131_1,21.26,20181218_132113_024879,30334.74,30335.77,Non-canonical syllables,3,Non-Canonical
3065,5998.DB1,3131_1,21.26,20181218_132113_024879,30337.85,30339.98,Non-canonical syllables,2,Non-Canonical
3066,5926.DB1,3131_1,21.26,20181218_132113_024879,30343.64,30344.64,Don't mark,3,Non-Canonical
3067,6871.DB1,3131_1,21.26,20181218_132113_024879,30344.64,30345.24,Non-canonical syllables,3,Non-Canonical
3068,4625.DB1,3131_1,21.26,20181218_132113_024879,30350.68,30351.94,Non-canonical syllables,2,Junk
3069,6423.DB1,3131_1,21.26,20181218_132113_024879,30354.05,30356.4,Crying,2,Mixed_Non-Canonical_Crying
3070,6458.DB1,3131_1,21.26,20181218_132113_024879,30357.98,30358.58,Non-canonical syllables,3,Non-Canonical
3071,4885.DB1,3131_1,21.26,20181218_132113_024879,30359.38,30360.75,Don't mark,2,Mixed_Laughing_Non-Canonical
3072,5168.DB1,3131_1,21.26,20181218_132113_024879,30362.19,30362.87,Don't mark,2,Junk
3073,5773.DB1,3131_1,21.26,20181218_132113_024879,30363.86,30365.79,Non-canonical syllables,3,Non-Canonical
3074,5559.DB1,3131_1,21.26,20181218_132113_024879,30371.89,30372.5,Non-canonical syllables,3,Junk
3075,3089.DB1,3131_1,21.26,20181218_132113_024879,30375.43,30376.06,Non-canonical syllables,2,Non-Canonical
3076,5984.DB1,3131_1,21.26,20181218_132113_024879,30376.86,30377.46,Canonical syllables,2,Non-Canonical
3077,6161.DB1,3131_1,21.26,20181218_132113_024879,30381.78,30383.16,Non-canonical syllables,2,Non-Canonical
3078,4217.DB1,3131_1,21.26,20181218_132113_024879,30384.16,30385.15,Non-canonical syllables,3,Non-Canonical
3079,3724.DB1,3131_1,21.26,20181218_132113_024879,30390.66,30394.3,Non-canonical syllables,2,Non-Canonical
3080,5610.DB1,3131_1,21.26,20181218_132113_024879,30396.07,30396.67,Non-canonical syllables,3,Non-Canonical
3081,6273.DB1,3131_1,21.26,20181218_132113_024879,30398.11,30400.32,Don't mark,2,Non-Canonical
3082,6729.DB1,3131_1,21.26,20181218_132113_024879,30401.12,30401.72,Non-canonical syllables,2,Junk
3083,4932.DB1,3131_1,21.26,20181218_132113_024879,30402.89,30407.99,Non-canonical syllables,2,Mixed_Laughing_Non-Canonical_Crying
3084,5859.DB1,3131_1,21.26,20181218_132113_024879,30412.24,30413.44,Non-canonical syllables,3,Canonical
3085,3945.DB1,3131_1,21.26,20181218_132113_024879,30416.31,30417.31,Non-canonical syllables,2,Non-Canonical
3086,4204.DB1,3131_1,21.26,20181218_132113_024879,30438.8,30439.8,Non-canonical syllables,2,Non-Canonical
3087,6587.DB1,3131_1,21.26,20181218_132113_024879,30441.12,30442.05,Non-canonical syllables,3,Non-Canonical
3088,4607.DB1,3131_1,21.26,20181218_132113_024879,30461.11,30461.9,Non-canonical syllables,3,Non-Canonical
3089,6060.DB1,3131_1,21.26,20181218_132113_024879,30466.85,30467.88,Canonical syllables,2,Non-Canonical
3090,6223.DB1,3131_1,21.26,20181218_132113_024879,30468.9,30470.45,Non-canonical syllables,3,Mixed_Non-Canonical_Crying
3091,2757.DB1,3131_1,21.26,20181218_132113_024879,30471.54,30474.35,Non-canonical syllables,3,Non-Canonical
3092,3416.DB1,3131_1,21.26,20181218_132113_024879,30487.09,30487.71,Non-canonical syllables,2,Junk
3093,2917.DB1,3131_1,21.26,20181218_132113_024879,30488.74,30490.16,Non-canonical syllables,3,Non-Canonical
3094,6384.DB1,3131_1,21.26,20181218_132113_024879,30491.39,30492.29,Non-canonical syllables,3,Non-Canonical
3095,3836.DB1,3131_1,21.26,20181218_132113_024879,30493.09,30493.69,Non-canonical syllables,3,Non-Canonical
3096,3736.DB1,3131_1,21.26,20181218_132113_024879,30494.49,30495.38,Non-canonical syllables,3,Non-Canonical
3097,7092.DB1,3131_1,21.26,20181218_132113_024879,30497.43,30498.07,Non-canonical syllables,3,Non-Canonical
3098,2904.DB1,3131_1,21.26,20181218_132113_024879,30499.26,30500.12,Non-canonical syllables,3,Non-Canonical
3099,5596.DB1,3131_1,21.26,20181218_132113_024879,30500.92,30501.66,Non-canonical syllables,3,Non-Canonical
3100,5827.DB1,3131_1,21.26,20181218_132113_024879,30502.46,30503.2,Non-canonical syllables,2,Non-Canonical
3101,4532.DB1,3131_1,21.26,20181218_132113_024879,30504.0,30505.75,None,0,Non-Canonical
3102,5371.DB1,3131_1,21.26,20181218_132113_024879,30514.44,30515.93,Don't mark,2,Non-Canonical
3103,3469.DB1,3131_1,21.26,20181218_132113_024879,30520.18,30520.98,Canonical syllables,2,Non-Canonical
3104,6976.DB1,3131_1,21.26,20181218_132113_024879,30524.89,30526.09,Non-canonical syllables,3,Non-Canonical
3105,3161.DB1,3131_1,21.26,20181218_132113_024879,30526.89,30528.14,Non-canonical syllables,3,Non-Canonical
3106,5361.DB1,3131_1,21.26,20181218_132113_024879,30538.05,30538.68,Non-canonical syllables,3,Non-Canonical
3107,4361.DB1,3131_1,21.26,20181218_132113_024879,30542.91,30543.82,Non-canonical syllables,2,Junk
