idx,segmentId_DB,ChildID,Age,filename,Starttime,Endtime,Major_Choice,Num_Agreement,Zoon_classif
3918,17333.DB2,3291_1,18.73,20180530_180405_024879,39807.6,39808.2,Don't mark,3,Junk
3919,17334.DB2,3291_1,18.73,20180530_180405_024879,39809.21,39809.81,Canonical syllables,3,Non-Canonical
3920,15684.DB2,3291_1,18.73,20180530_180405_024879,39813.15,39814.17,Don't mark,3,Non-Canonical
3921,15236.DB2,3291_1,18.73,20180530_180405_024879,39816.57,39817.62,Don't mark,2,Junk
3922,16114.DB2,3291_1,18.73,20180530_180405_024879,39827.18,39827.82,Don't mark,3,Junk
3923,14967.DB2,3291_1,18.73,20180530_180405_024879,39832.14,39832.86,Don't mark,3,Junk
3924,15773.DB2,3291_1,18.73,20180530_180405_024879,39836.0,39836.89,Canonical syllables,3,Junk
3925,16779.DB2,3291_1,18.73,20180530_180405_024879,39843.65,39844.26,Don't mark,3,Non-Canonical
3926,16188.DB2,3291_1,18.73,20180530_180405_024879,39862.53,39863.25,Don't mark,2,Laughing
3927,15331.DB2,3291_1,18.73,20180530_180405_024879,39865.3,39868.38,Don't mark,3,Crying
3928,17341.DB2,3291_1,18.73,20180530_180405_024879,39871.28,39871.95,Non-canonical syllables,2,Non-Canonical
3929,17202.DB2,3291_1,18.73,20180530_180405_024879,39875.21,39875.82,Non-canonical syllables,3,Junk
3930,17091.DB2,3291_1,18.73,20180530_180405_024879,39880.03,39881.57,Canonical syllables,3,Canonical
3931,14886.DB2,3291_1,18.73,20180530_180405_024879,39881.57,39884.47,Don't mark,2,Junk
3932,15186.DB2,3291_1,18.73,20180530_180405_024879,39885.51,39887.08,Non-canonical syllables,3,Crying
3933,16497.DB2,3291_1,18.73,20180530_180405_024879,39887.08,39888.69,Don't mark,2,Non-Canonical
3934,15070.DB2,3291_1,18.73,20180530_180405_024879,39888.69,39889.31,Non-canonical syllables,2,Mixed_Laughing_Non-Canonical
3935,16220.DB2,3291_1,18.73,20180530_180405_024879,39890.11,39891.98,Don't mark,2,Non-Canonical
3936,16657.DB2,3291_1,18.73,20180530_180405_024879,39903.2,39903.8,Non-canonical syllables,2,Junk
3937,14872.DB2,3291_1,18.73,20180530_180405_024879,39906.5,39908.55,Non-canonical syllables,2,Mixed_Crying_Non-Canonical
3938,16041.DB2,3291_1,18.73,20180530_180405_024879,39926.09,39926.88,Don't mark,3,Junk
3939,16988.DB2,3291_1,18.73,20180530_180405_024879,39931.55,39932.26,Don't mark,3,Junk
3940,15457.DB2,3291_1,18.73,20180530_180405_024879,39937.19,39937.8,Don't mark,3,Junk
3941,16387.DB2,3291_1,18.73,20180530_180405_024879,39946.13,39946.74,Non-canonical syllables,2,Junk
3942,14725.DB2,3291_1,18.73,20180530_180405_024879,39948.34,39949.62,Non-canonical syllables,3,Mixed_Crying_Non-Canonical
3943,16993.DB2,3291_1,18.73,20180530_180405_024879,39950.42,39951.02,Non-canonical syllables,3,Non-Canonical
3944,15545.DB2,3291_1,18.73,20180530_180405_024879,39953.29,39953.89,Non-canonical syllables,2,Junk
3945,17116.DB2,3291_1,18.73,20180530_180405_024879,39954.7,39956.06,Don't mark,2,Junk
3946,16343.DB2,3291_1,18.73,20180530_180405_024879,39957.08,39957.82,Non-canonical syllables,2,Non-Canonical
3947,14702.DB2,3291_1,18.73,20180530_180405_024879,39958.79,39960.16,Canonical syllables,3,Canonical
