"startTime","itsId","endTime","LENA_type","segmentId_DB","ChildID","Age_months_actual","filename","Endtime","Major_Choice","Num_Agreement"
30583.1,"20181218_132113_024879",30583.7,"Can/non-can","3808.DB1","3131_1",21.26,"20181218_132113_024879",30583.7,"Non-canonical syllables",2
30586.96,"20181218_132113_024879",30587.86,"Can/non-can","3784.DB1","3131_1",21.26,"20181218_132113_024879",30587.86,"Non-canonical syllables",2
30599.08,"20181218_132113_024879",30599.83,"Can/non-can","2880.DB1","3131_1",21.26,"20181218_132113_024879",30599.83,"Non-canonical syllables",3
30627.15,"20181218_132113_024879",30627.81,"Can/non-can","4012.DB1","3131_1",21.26,"20181218_132113_024879",30627.81,"Non-canonical syllables",3
30628.88,"20181218_132113_024879",30630.31,"Can/non-can","6905.DB1","3131_1",21.26,"20181218_132113_024879",30630.31,"Non-canonical syllables",2
30636.71,"20181218_132113_024879",30637.74,"Can/non-can","3831.DB1","3131_1",21.26,"20181218_132113_024879",30637.74,"Non-canonical syllables",3
30640.55,"20181218_132113_024879",30641.94,"Can/non-can","4171.DB1","3131_1",21.26,"20181218_132113_024879",30641.94,"Don't mark",2
30644.2,"20181218_132113_024879",30644.8,"Can/non-can","2813.DB1","3131_1",21.26,"20181218_132113_024879",30644.8,"Don't mark",2
30652.62,"20181218_132113_024879",30653.5,"Can/non-can","3616.DB1","3131_1",21.26,"20181218_132113_024879",30653.5,"Canonical syllables",2
31567.32,"20181218_132113_024879",31567.94,"Can/non-can","5812.DB1","3131_1",21.26,"20181218_132113_024879",31567.94,"Non-canonical syllables",3
31649.38,"20181218_132113_024879",31650.92,"Can/non-can","5100.DB1","3131_1",21.26,"20181218_132113_024879",31650.92,"Canonical syllables",2
31678.64,"20181218_132113_024879",31679.24,"Can/non-can","5284.DB1","3131_1",21.26,"20181218_132113_024879",31679.24,"Non-canonical syllables",2
31685.44,"20181218_132113_024879",31686.14,"Can/non-can","6165.DB1","3131_1",21.26,"20181218_132113_024879",31686.14,"Non-canonical syllables",3
31692.75,"20181218_132113_024879",31693.36,"Can/non-can","5770.DB1","3131_1",21.26,"20181218_132113_024879",31693.36,"Non-canonical syllables",2
