"","segmentId_DB","Answer","ChildID","Age_months_actual","filename","Starttime","Endtime","Major_Choice","Num_Agreement"
"5254","20519.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",42594.68,42596.33,"Non-canonical syllables",2
"5255","20525.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37939.49,37940.49,"Crying",2
"5256","20532.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37826.01,37827.9,"Crying",3
"5257","20534.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37576.94,37577.76,"Non-canonical syllables",3
"5258","20537.DB1","Crying","3681_1",4.67,"20181023_153740_024881",42358.4,42368.34,"Crying",3
"5259","20540.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43761.14,43763.12,"Don't mark",2
"5260","20543.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37550.16,37550.96,"Non-canonical syllables",3
"5261","20545.DB1","Crying","3681_1",4.67,"20181023_153740_024881",38537.63,38538.78,"Crying",3
"5262","20546.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",44600.7,44601.3,"Non-canonical syllables",3
"5263","2055.DB2","Non-Canonical","3491_7",16.26,"20180808_111325_024882",29466.55,29468.81,"Non-canonical syllables",3
"5264","20552.DB1","Canonical","3681_1",4.67,"20181023_153740_024881",44460.3,44461.79,"Non-canonical syllables",2
"5265","20555.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37975.97,37977.24,"Non-canonical syllables",2
"5266","2056.DB2","Canonical","3491_7",16.26,"20180808_111325_024882",10479.77,10480.97,"Non-canonical syllables",3
"5267","20562.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37954.2,37957.08,"Crying",2
"5268","20568.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",38482.67,38483.48,"Crying",2
"5269","20573.DB1","Laughing","3681_1",4.67,"20181023_153740_024881",37573.33,37575.94,"Crying",2
"5270","20579.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43077.95,43078.76,"Don't mark",2
"5271","2058.DB2","Canonical","3491_7",16.26,"20180808_111325_024882",29469.76,29471.33,"Canonical syllables",2
"5272","20580.DB1","Canonical","3681_1",4.67,"20181023_153740_024881",21428.42,21429.42,"Don't mark",3
"5273","20587.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",44136.66,44137.26,"Don't mark",2
"5274","20592.DB1","Crying","3681_1",4.67,"20181023_153740_024881",38463.17,38464.26,"Crying",3
"5275","20594.DB1","Junk","3681_1",4.67,"20181023_153740_024881",43201.26,43202.06,"Don't mark",3
"5276","20595.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37552.39,37554.65,"Crying",3
"5277","20596.DB1","Junk","3681_1",4.67,"20181023_153740_024881",31292.07,31295.24,"Don't mark",3
"5278","206.DB2","Non-Canonical","3491_7",16.26,"20180808_111325_024882",6114.77,6115.78,"Don't mark",2
"5279","20600.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37627.37,37628.58,"Crying",2
"5280","20601.DB1","","3681_1",4.67,"20181023_153740_024881",37837.17,37838.83,"Non-canonical syllables",2
"5281","20603.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",44539.95,44541.13,"Non-canonical syllables",2
"5282","20604.DB1","","3681_1",4.67,"20181023_153740_024881",37902.96,37903.62,"Non-canonical syllables",3
"5283","2061.DB2","Canonical","3491_7",16.26,"20180808_111325_024882",10362.88,10363.48,"Canonical syllables",3
"5284","20614.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37911.87,37912.83,"Crying",2
"5285","20617.DB1","Crying","3681_1",4.67,"20181023_153740_024881",42531.1,42539.27,"Crying",3
"5286","20618.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",38542.58,38547.79,"Crying",3
"5287","20630.DB1","Crying","3681_1",4.67,"20181023_153740_024881",42580.13,42581.07,"Crying",2
"5288","20632.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37602.97,37608.72,"Crying",3
"5289","20633.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37805.01,37805.83,"Crying",2
"5290","20636.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",44473.39,44476.2,"Non-canonical syllables",3
"5291","20640.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",38524.65,38526.88,"Crying",2
"5292","20642.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37732.63,37739.6,"Crying",3
"5293","20649.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37946.54,37947.83,"Non-canonical syllables",3
"5294","20651.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37988.62,37989.25,"Crying",2
"5295","20654.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37665.84,37666.78,"Crying",2
"5296","20658.DB1","Crying","3681_1",4.67,"20181023_153740_024881",38557.72,38559.76,"Crying",3
"5297","20661.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",43023.87,43024.7,"Non-canonical syllables",3
"5298","20662.DB1","Crying","3681_1",4.67,"20181023_153740_024881",40898.74,40899.35,"Non-canonical syllables",2
"5299","20663.DB1","Crying","3681_1",4.67,"20181023_153740_024881",42481.77,42491.38,"Crying",2
"5300","20665.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37945.84,37946.54,"Non-canonical syllables",3
"5301","20669.DB1","Junk","3681_1",4.67,"20181023_153740_024881",31874.44,31875.04,"Don't mark",3
"5302","20670.DB1","Crying","3681_1",4.67,"20181023_153740_024881",42370.04,42383.79,"Crying",3
"5303","20675.DB1","Crying","3681_1",4.67,"20181023_153740_024881",44157.64,44158.65,"Non-canonical syllables",3
"5304","20677.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43628.52,43629.32,"Crying",2
"5305","20679.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37542.52,37545.48,"Crying",3
"5306","20688.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",42807.89,42808.57,"Non-canonical syllables",2
"5307","20690.DB1","Junk","3681_1",4.67,"20181023_153740_024881",31311.93,31312.53,"Don't mark",3
"5308","20691.DB1","Junk","3681_1",4.67,"20181023_153740_024881",44312.91,44313.54,"Non-canonical syllables",3
"5309","20695.DB1","Crying","3681_1",4.67,"20181023_153740_024881",38466.7,38468.12,"Crying",3
"5310","20696.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37591.34,37598.76,"Crying",3
"5311","20698.DB1","Canonical","3681_1",4.67,"20181023_153740_024881",21472.47,21473.14,"Don't mark",2
"5312","2070.DB2","Canonical","3491_7",16.26,"20180808_111325_024882",22699.32,22699.92,"Canonical syllables",2
"5313","20704.DB1","Junk","3681_1",4.67,"20181023_153740_024881",19631.37,19631.97,"Don't mark",3
"5314","20719.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37922.08,37923.24,"Crying",2
"5315","20720.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",40884.18,40884.79,"Non-canonical syllables",2
"5316","20725.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37700.54,37701.65,"Crying",2
"5317","20728.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",42801.79,42802.4,"Non-canonical syllables",3
"5318","20731.DB1","Crying","3681_1",4.67,"20181023_153740_024881",38514.16,38515.46,"Crying",3
"5319","20732.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37615.61,37616.61,"Crying",2
"5320","20733.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37764.72,37767.04,"Crying",2
"5321","2074.DB2","Non-Canonical","3491_7",16.26,"20180808_111325_024882",29754.52,29755.56,"Non-canonical syllables",2
"5322","20741.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43744.75,43745.66,"Crying",2
"5323","20742.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37664.84,37665.84,"Crying",3
"5324","20747.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",38468.12,38469.14,"Non-canonical syllables",2
"5325","20750.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37739.6,37740.61,"Crying",2
"5326","20751.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",38046.7,38048.16,"Crying",2
"5327","20754.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37771.5,37774.7,"Crying",3
"5328","20761.DB1","Junk","3681_1",4.67,"20181023_153740_024881",31433.37,31433.97,"Don't mark",3
