AudioData	ChildID	Age	ITS
7159704279	597AF93B000332AR	976	e20170707_092123_013098
3230372131	597AF93B000332AR	976	e20170707_092123_013098
0569281470	597AF93B000332AR	976	e20170707_092123_013098
5497488307	597AF93B000332AR	976	e20170707_092123_013098
6219148106	597AF93B000332AR	976	e20170707_092123_013098
9938307190	597AF93B000332AR	976	e20170707_092123_013098
3072259701	597AF93B000332AR	976	e20170707_092123_013098
8309252181	597AF93B000332AR	976	e20170707_092123_013098
8825686221	597AF93B000332AR	976	e20170707_092123_013098
3193370267	597AF93B000332AR	976	e20170707_092123_013098
4214079305	597AF93B000332AR	976	e20170707_092123_013098
9440525806	597AF93B000332AR	976	e20170707_092123_013098
3917569739	597AF93B000332AR	976	e20170707_092123_013098
6666658275	597AF93B000332AR	976	e20170707_092123_013098
2845319192	597AF93B000332AR	976	e20170707_092123_013098
9684122032	597AF93B000332AR	976	e20170707_092123_013098
9446644803	597AF93B000332AR	976	e20170707_092123_013098
6177027656	597AF93B000332AR	976	e20170707_092123_013098
6516820730	597AF93B000332AR	976	e20170707_092123_013098
7573380990	597AF93B000332AR	976	e20170707_092123_013098
5380418758	597AF93B000332AR	976	e20170707_092123_013098
5225653004	597AF93B000332AR	976	e20170707_092123_013098
8282885623	597AF93B000332AR	976	e20170707_092123_013098
8363805335	597AF93B000332AR	976	e20170707_092123_013098
7691975031	597AF93B000332AR	976	e20170707_092123_013098
2545249588	597AF93B000332AR	976	e20170707_092123_013098
7630771624	597AF93B000332AR	976	e20170707_092123_013098
4215588988	597AF93B000332AR	976	e20170707_092123_013098
9697037219	597AF93B000332AR	976	e20170707_092123_013098
2607024376	597AF93B000332AR	976	e20170707_092123_013098
7172105251	597AF93B000332AR	976	e20170707_092123_013098
4080749337	597AF93B000332AR	976	e20170707_092123_013098
2877846503	597AF93B000332AR	976	e20170707_092123_013098
6508035597	597AF93B000332AR	976	e20170707_092123_013098
1278362160	597AF93B000332AR	976	e20170707_092123_013098
3130065837	597AF93B000332AR	976	e20170707_092123_013098
4327462820	597AF93B000332AR	976	e20170707_092123_013098
7560805119	597AF93B000332AR	976	e20170707_092123_013098
4748410786	597AF93B000332AR	976	e20170707_092123_013098
2198798583	597AF93B000332AR	976	e20170707_092123_013098
4799386812	597AF93B000332AR	976	e20170707_092123_013098
8987549164	597AF93B000332AR	976	e20170707_092123_013098
8971863254	597AF93B000332AR	976	e20170707_092123_013098
0078052218	597AF93B000332AR	976	e20170707_092123_013098
4659909568	597AF93B000332AR	976	e20170707_092123_013098
2904654977	597AF93B000332AR	976	e20170707_092123_013098
8417521865	597AF93B000332AR	976	e20170707_092123_013098
4012148277	597AF93B000332AR	976	e20170707_092123_013098
0972089255	597AF93B000332AR	976	e20170707_092123_013098
9619868758	597AF93B000332AR	976	e20170707_092123_013098
5219524921	597AF93B000332AR	976	e20170707_092123_013098
9385185618	597AF93B000332AR	976	e20170707_092123_013098
0737214100	597AF93B000332AR	976	e20170707_092123_013098
5947793321	597AF93B000332AR	976	e20170707_092123_013098
1760936309	597AF93B000332AR	976	e20170707_092123_013098
3666505985	597AF93B000332AR	976	e20170707_092123_013098
9740484646	597AF93B000332AR	976	e20170707_092123_013098
5617647060	597AF93B000332AR	976	e20170707_092123_013098
8970294384	597AF93B000332AR	976	e20170707_092123_013098
8728090724	597AF93B000332AR	976	e20170707_092123_013098
4053394115	597AF93B000332AR	976	e20170707_092123_013098
3566066103	597AF93B000332AR	976	e20170707_092123_013098
2738571293	597AF93B000332AR	976	e20170707_092123_013098
7615131695	597AF93B000332AR	976	e20170707_092123_013098
9482975619	597AF93B000332AR	976	e20170707_092123_013098
2919833187	597AF93B000332AR	976	e20170707_092123_013098
8566796032	597AF93B000332AR	976	e20170707_092123_013098
0351537387	597AF93B000332AR	976	e20170707_092123_013098
4851250523	597AF93B000332AR	976	e20170707_092123_013098
9371299101	597AF93B000332AR	976	e20170707_092123_013098
1191647029	597AF93B000332AR	976	e20170707_092123_013098
6933283019	597AF93B000332AR	976	e20170707_092123_013098
6911154991	597AF93B000332AR	976	e20170707_092123_013098
3135814841	597AF93B000332AR	976	e20170707_092123_013098
9792781220	597AF93B000332AR	976	e20170707_092123_013098
8248617892	597AF93B000332AR	976	e20170707_092123_013098
2759904407	597AF93B000332AR	976	e20170707_092123_013098
5247275600	597AF93B000332AR	976	e20170707_092123_013098
6541150277	597AF93B000332AR	976	e20170707_092123_013098
7879822738	597AF93B000332AR	976	e20170707_092123_013098
6147460235	597AF93B000332AR	976	e20170707_092123_013098
9605233802	597AF93B000332AR	976	e20170707_092123_013098
0232814079	597AF93B000332AR	976	e20170707_092123_013098
5472846761	597AF93B000332AR	976	e20170707_092123_013098
0396827843	597AF93B000332AR	976	e20170707_092123_013098
1596294777	597AF93B000332AR	976	e20170707_092123_013098
9657246392	597AF93B000332AR	976	e20170707_092123_013098
9174649232	597AF93B000332AR	976	e20170707_092123_013098
8799484340	597AF93B000332AR	976	e20170707_092123_013098
7692303101	597AF93B000332AR	976	e20170707_092123_013098
6034149666	597AF93B000332AR	976	e20170707_092123_013098
0635162295	597AF93B000332AR	976	e20170707_092123_013098
4099883009	597AF93B000332AR	976	e20170707_092123_013098
0030485144	597AF93B000332AR	976	e20170707_092123_013098
6370585475	597AF93B000332AR	976	e20170707_092123_013098
6694806399	597AF93B000332AR	976	e20170707_092123_013098
2505873245	597AF93B000332AR	976	e20170707_092123_013098
1585133100	597AF93B000332AR	976	e20170707_092123_013098
0576589343	597AF93B000332AR	976	e20170707_092123_013098
5830509824	597AF93B000332AR	976	e20170707_092123_013098
5335338230	597AF93B000332AR	976	e20170707_092123_013098
3528705713	597AF93B000332AR	976	e20170707_092123_013098
5193685358	597AF93B000332AR	976	e20170707_092123_013098
1955313603	597AF93B000332AR	976	e20170707_092123_013098
7116554983	597AF93B000332AR	976	e20170707_092123_013098
2333284906	597AF93B000332AR	976	e20170707_092123_013098
6273106999	597AF93B000332AR	976	e20170707_092123_013098
9176834577	597AF93B000332AR	976	e20170707_092123_013098
