IDX,Answer,Age,Childkey,AudioData,ChildID,ITS,months
0,Junk,2014,5D704B7D0000332F,0031895815.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
1,Junk,2014,5D704B7D0000332F,0031895815.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
2,Junk,2014,5D704B7D0000332F,0031895815.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
3,Crying,2014,5D704B7D0000332F,0036150120.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
4,Laughing,2014,5D704B7D0000332F,0036150120.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
5,Junk,2014,5D704B7D0000332F,0036150120.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
6,Junk,2014,5D704B7D0000332F,0042063662.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
7,Non-Canonical,2014,5D704B7D0000332F,0065987215.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
8,Canonical,2014,5D704B7D0000332F,0065987215.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
9,Canonical,2014,5D704B7D0000332F,0065987215.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
10,Canonical,2014,5D704B7D0000332F,0069421091.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
11,Canonical,2014,5D704B7D0000332F,0078519908.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
12,Crying,2014,5D704B7D0000332F,0091613644.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
13,Non-Canonical,2014,5D704B7D0000332F,0093624242.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
14,Non-Canonical,2014,5D704B7D0000332F,0093624242.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
15,Non-Canonical,2014,5D704B7D0000332F,0093624242.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
16,Junk,2014,5D704B7D0000332F,0094142032.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
17,Junk,2014,5D704B7D0000332F,0094142032.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
18,Junk,2014,5D704B7D0000332F,0094142032.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
19,Junk,2014,5D704B7D0000332F,0094142032.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
20,Non-Canonical,2014,5D704B7D0000332F,0095905587.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
21,Non-Canonical,2014,5D704B7D0000332F,0095905587.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
22,Non-Canonical,2014,5D704B7D0000332F,0095905587.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
23,Canonical,2014,5D704B7D0000332F,0099769300.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
24,Canonical,2014,5D704B7D0000332F,0099769300.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
25,Junk,2014,5D704B7D0000332F,0107331874.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
26,Junk,2014,5D704B7D0000332F,0107331874.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
27,Non-Canonical,2014,5D704B7D0000332F,0111075210.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
28,Non-Canonical,2014,5D704B7D0000332F,0114436076.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
29,Laughing,2014,5D704B7D0000332F,0115994663.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
30,Junk,2014,5D704B7D0000332F,0117771193.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
31,Non-Canonical,2014,5D704B7D0000332F,0117771193.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
32,Canonical,2014,5D704B7D0000332F,0123196711.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
33,Laughing,2014,5D704B7D0000332F,0123196711.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
34,Canonical,2014,5D704B7D0000332F,0123196711.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
35,Junk,2014,5D704B7D0000332F,0130523392.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
36,Junk,2014,5D704B7D0000332F,0130523392.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
37,Junk,2014,5D704B7D0000332F,0134481003.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
38,Junk,2014,5D704B7D0000332F,0134481003.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
39,Junk,2014,5D704B7D0000332F,0134481003.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
40,Junk,2014,5D704B7D0000332F,0134481003.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
41,Junk,2014,5D704B7D0000332F,0135935406.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
42,Non-Canonical,2014,5D704B7D0000332F,0135935406.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
43,Junk,2014,5D704B7D0000332F,0137751519.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
44,Junk,2014,5D704B7D0000332F,0139333374.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
45,Canonical,2014,5D704B7D0000332F,0140058879.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
46,Non-Canonical,2014,5D704B7D0000332F,0140058879.mp3,5D704B7D0000332F,e20190820_094905_013103.its,66
