AudioData	ChildID	Age	ITS
4371034762	5DB0A38F000332FR	850	e20191023_210456_013099
6830104454	5DB0A38F000332FR	850	e20191023_210456_013099
2836485930	5DB0A38F000332FR	850	e20191023_210456_013099
0514330635	5DB0A38F000332FR	850	e20191023_210456_013099
9916836177	5DB0A38F000332FR	850	e20191023_210456_013099
7529840316	5DB0A38F000332FR	850	e20191023_210456_013099
0006714878	5DB0A38F000332FR	850	e20191023_210456_013099
5202840851	5DB0A38F000332FR	850	e20191023_210456_013099
4295975026	5DB0A38F000332FR	850	e20191023_210456_013099
1244543180	5DB0A38F000332FR	850	e20191023_210456_013099
1081927563	5DB0A38F000332FR	850	e20191023_210456_013099
5184846373	5DB0A38F000332FR	850	e20191023_210456_013099
8679002306	5DB0A38F000332FR	850	e20191023_210456_013099
7092288468	5DB0A38F000332FR	850	e20191023_210456_013099
2036194833	5DB0A38F000332FR	850	e20191023_210456_013099
1079969211	5DB0A38F000332FR	850	e20191023_210456_013099
3704818257	5DB0A38F000332FR	850	e20191023_210456_013099
0044437287	5DB0A38F000332FR	850	e20191023_210456_013099
7324648131	5DB0A38F000332FR	850	e20191023_210456_013099
8762534966	5DB0A38F000332FR	850	e20191023_210456_013099
0053975385	5DB0A38F000332FR	850	e20191023_210456_013099
0291647816	5DB0A38F000332FR	850	e20191023_210456_013099
9805498849	5DB0A38F000332FR	850	e20191023_210456_013099
8547601726	5DB0A38F000332FR	850	e20191023_210456_013099
0223695195	5DB0A38F000332FR	850	e20191023_210456_013099
1181878398	5DB0A38F000332FR	850	e20191023_210456_013099
6474838234	5DB0A38F000332FR	850	e20191023_210456_013099
0183091080	5DB0A38F000332FR	850	e20191023_210456_013099
7487648053	5DB0A38F000332FR	850	e20191023_210456_013099
1604077207	5DB0A38F000332FR	850	e20191023_210456_013099
7759991174	5DB0A38F000332FR	850	e20191023_210456_013099
2826819707	5DB0A38F000332FR	850	e20191023_210456_013099
3082263652	5DB0A38F000332FR	850	e20191023_210456_013099
3873312027	5DB0A38F000332FR	850	e20191023_210456_013099
1293351951	5DB0A38F000332FR	850	e20191023_210456_013099
3359470463	5DB0A38F000332FR	850	e20191023_210456_013099
0148453545	5DB0A38F000332FR	850	e20191023_210456_013099
4277782213	5DB0A38F000332FR	850	e20191023_210456_013099
6906128419	5DB0A38F000332FR	850	e20191023_210456_013099
5034422696	5DB0A38F000332FR	850	e20191023_210456_013099
3768574430	5DB0A38F000332FR	850	e20191023_210456_013099
7677815023	5DB0A38F000332FR	850	e20191023_210456_013099
1534932972	5DB0A38F000332FR	850	e20191023_210456_013099
1602529002	5DB0A38F000332FR	850	e20191023_210456_013099
2720643698	5DB0A38F000332FR	850	e20191023_210456_013099
5530400200	5DB0A38F000332FR	850	e20191023_210456_013099
0346691332	5DB0A38F000332FR	850	e20191023_210456_013099
3347183802	5DB0A38F000332FR	850	e20191023_210456_013099
2617931759	5DB0A38F000332FR	850	e20191023_210456_013099
6522428013	5DB0A38F000332FR	850	e20191023_210456_013099
7024885898	5DB0A38F000332FR	850	e20191023_210456_013099
7992980895	5DB0A38F000332FR	850	e20191023_210456_013099
5762801051	5DB0A38F000332FR	850	e20191023_210456_013099
7714515016	5DB0A38F000332FR	850	e20191023_210456_013099
9505551285	5DB0A38F000332FR	850	e20191023_210456_013099
9123132199	5DB0A38F000332FR	850	e20191023_210456_013099
6658313024	5DB0A38F000332FR	850	e20191023_210456_013099
5332820168	5DB0A38F000332FR	850	e20191023_210456_013099
4771959315	5DB0A38F000332FR	850	e20191023_210456_013099
5617307911	5DB0A38F000332FR	850	e20191023_210456_013099
5024465389	5DB0A38F000332FR	850	e20191023_210456_013099
8586426294	5DB0A38F000332FR	850	e20191023_210456_013099
1505333178	5DB0A38F000332FR	850	e20191023_210456_013099
0424939538	5DB0A38F000332FR	850	e20191023_210456_013099
8849973388	5DB0A38F000332FR	850	e20191023_210456_013099
5431519556	5DB0A38F000332FR	850	e20191023_210456_013099
8181054641	5DB0A38F000332FR	850	e20191023_210456_013099
4320174577	5DB0A38F000332FR	850	e20191023_210456_013099
1722234427	5DB0A38F000332FR	850	e20191023_210456_013099
6463097123	5DB0A38F000332FR	850	e20191023_210456_013099
1541629993	5DB0A38F000332FR	850	e20191023_210456_013099
6437415616	5DB0A38F000332FR	850	e20191023_210456_013099
5787174416	5DB0A38F000332FR	850	e20191023_210456_013099
7261469769	5DB0A38F000332FR	850	e20191023_210456_013099
8005857027	5DB0A38F000332FR	850	e20191023_210456_013099
3761342445	5DB0A38F000332FR	850	e20191023_210456_013099
4934842295	5DB0A38F000332FR	850	e20191023_210456_013099
7770818835	5DB0A38F000332FR	850	e20191023_210456_013099
5388026936	5DB0A38F000332FR	850	e20191023_210456_013099
6277150393	5DB0A38F000332FR	850	e20191023_210456_013099
4628110073	5DB0A38F000332FR	850	e20191023_210456_013099
6148053087	5DB0A38F000332FR	850	e20191023_210456_013099
1560997630	5DB0A38F000332FR	850	e20191023_210456_013099
6767410782	5DB0A38F000332FR	850	e20191023_210456_013099
1060534374	5DB0A38F000332FR	850	e20191023_210456_013099
7869532949	5DB0A38F000332FR	850	e20191023_210456_013099
4167180209	5DB0A38F000332FR	850	e20191023_210456_013099
0499032846	5DB0A38F000332FR	850	e20191023_210456_013099
4876473523	5DB0A38F000332FR	850	e20191023_210456_013099
6159193175	5DB0A38F000332FR	850	e20191023_210456_013099
4619639820	5DB0A38F000332FR	850	e20191023_210456_013099
3787780579	5DB0A38F000332FR	850	e20191023_210456_013099
3853871635	5DB0A38F000332FR	850	e20191023_210456_013099
1069601195	5DB0A38F000332FR	850	e20191023_210456_013099
1953830362	5DB0A38F000332FR	850	e20191023_210456_013099
9579148792	5DB0A38F000332FR	850	e20191023_210456_013099
5568528458	5DB0A38F000332FR	850	e20191023_210456_013099
5963737136	5DB0A38F000332FR	850	e20191023_210456_013099
7013119791	5DB0A38F000332FR	850	e20191023_210456_013099
3753738402	5DB0A38F000332FR	850	e20191023_210456_013099
2080388755	5DB0A38F000332FR	850	e20191023_210456_013099
8238786543	5DB0A38F000332FR	850	e20191023_210456_013099
3718474615	5DB0A38F000332FR	850	e20191023_210456_013099
9200416540	5DB0A38F000332FR	850	e20191023_210456_013099
6486803881	5DB0A38F000332FR	850	e20191023_210456_013099
4275489464	5DB0A38F000332FR	850	e20191023_210456_013099
2089235160	5DB0A38F000332FR	850	e20191023_210456_013099
3155427788	5DB0A38F000332FR	850	e20191023_210456_013099
9023770422	5DB0A38F000332FR	850	e20191023_210456_013099
3731903151	5DB0A38F000332FR	850	e20191023_210456_013099
4399655375	5DB0A38F000332FR	850	e20191023_210456_013099
6426327723	5DB0A38F000332FR	850	e20191023_210456_013099
2683139451	5DB0A38F000332FR	850	e20191023_210456_013099
4775193541	5DB0A38F000332FR	850	e20191023_210456_013099
2296289366	5DB0A38F000332FR	850	e20191023_210456_013099
1027424621	5DB0A38F000332FR	850	e20191023_210456_013099
5736875841	5DB0A38F000332FR	850	e20191023_210456_013099
9164260879	5DB0A38F000332FR	850	e20191023_210456_013099
6330237144	5DB0A38F000332FR	850	e20191023_210456_013099
5356337578	5DB0A38F000332FR	850	e20191023_210456_013099
0880062607	5DB0A38F000332FR	850	e20191023_210456_013099
2530129620	5DB0A38F000332FR	850	e20191023_210456_013099
5494488366	5DB0A38F000332FR	850	e20191023_210456_013099
4700388004	5DB0A38F000332FR	850	e20191023_210456_013099
6702367788	5DB0A38F000332FR	850	e20191023_210456_013099
1015875009	5DB0A38F000332FR	850	e20191023_210456_013099
1635290824	5DB0A38F000332FR	850	e20191023_210456_013099
0880133047	5DB0A38F000332FR	850	e20191023_210456_013099
2964014090	5DB0A38F000332FR	850	e20191023_210456_013099
0158071671	5DB0A38F000332FR	850	e20191023_210456_013099
8738948578	5DB0A38F000332FR	850	e20191023_210456_013099
3326637234	5DB0A38F000332FR	850	e20191023_210456_013099
0136792223	5DB0A38F000332FR	850	e20191023_210456_013099
4028792390	5DB0A38F000332FR	850	e20191023_210456_013099
6041859027	5DB0A38F000332FR	850	e20191023_210456_013099
9557548138	5DB0A38F000332FR	850	e20191023_210456_013099
0078414413	5DB0A38F000332FR	850	e20191023_210456_013099
2286621705	5DB0A38F000332FR	850	e20191023_210456_013099
9704344288	5DB0A38F000332FR	850	e20191023_210456_013099
8825039117	5DB0A38F000332FR	850	e20191023_210456_013099
8095468313	5DB0A38F000332FR	850	e20191023_210456_013099
9008300709	5DB0A38F000332FR	850	e20191023_210456_013099
8713262996	5DB0A38F000332FR	850	e20191023_210456_013099
4171390697	5DB0A38F000332FR	850	e20191023_210456_013099
9774186607	5DB0A38F000332FR	850	e20191023_210456_013099
9855311664	5DB0A38F000332FR	850	e20191023_210456_013099
6040114238	5DB0A38F000332FR	850	e20191023_210456_013099
7449345872	5DB0A38F000332FR	850	e20191023_210456_013099
2690487644	5DB0A38F000332FR	850	e20191023_210456_013099
5312246639	5DB0A38F000332FR	850	e20191023_210456_013099
8192500251	5DB0A38F000332FR	850	e20191023_210456_013099
1956043471	5DB0A38F000332FR	850	e20191023_210456_013099
4416851072	5DB0A38F000332FR	850	e20191023_210456_013099
3461438192	5DB0A38F000332FR	850	e20191023_210456_013099
7307427851	5DB0A38F000332FR	850	e20191023_210456_013099
6475277567	5DB0A38F000332FR	850	e20191023_210456_013099
8159673178	5DB0A38F000332FR	850	e20191023_210456_013099
