ChildID,Age,AudioData
5D704B7D0000332F,2014,0000556056.mp3
5D704B7D0000332F,2014,0001042660.mp3
5D704B7D0000332F,2014,0007004411.mp3
5D704B7D0000332F,2014,0007176063.mp3
5D704B7D0000332F,2014,0008383739.mp3
5D704B7D0000332F,2014,0026590606.mp3
5D704B7D0000332F,2014,0026873590.mp3
5D704B7D0000332F,2014,0027802963.mp3
5D704B7D0000332F,2014,0030053791.mp3
5D704B7D0000332F,2014,0031254098.mp3
5D704B7D0000332F,2014,0031895815.mp3
5D704B7D0000332F,2014,0036150120.mp3
5D704B7D0000332F,2014,0042063662.mp3
5D704B7D0000332F,2014,0065987215.mp3
5D704B7D0000332F,2014,0069421091.mp3
5D704B7D0000332F,2014,0070456404.mp3
5D704B7D0000332F,2014,0076403717.mp3
5D704B7D0000332F,2014,0078519908.mp3
5D704B7D0000332F,2014,0091613644.mp3
5D704B7D0000332F,2014,0093624242.mp3
5D704B7D0000332F,2014,0094142032.mp3
5D704B7D0000332F,2014,0095905587.mp3
5D704B7D0000332F,2014,0099769300.mp3
5D704B7D0000332F,2014,0107331874.mp3
5D704B7D0000332F,2014,0111075210.mp3
5D704B7D0000332F,2014,0112981422.mp3
5D704B7D0000332F,2014,0114436076.mp3
5D704B7D0000332F,2014,0115994663.mp3
5D704B7D0000332F,2014,0117771193.mp3
5D704B7D0000332F,2014,0120059578.mp3
5D704B7D0000332F,2014,0120296230.mp3
5D704B7D0000332F,2014,0123196711.mp3
5D704B7D0000332F,2014,0130523392.mp3
5D704B7D0000332F,2014,0130983747.mp3
5D704B7D0000332F,2014,0132676573.mp3
5D704B7D0000332F,2014,0134481003.mp3
5D704B7D0000332F,2014,0135935406.mp3
5D704B7D0000332F,2014,0137751519.mp3
5D704B7D0000332F,2014,0139333374.mp3
5D704B7D0000332F,2014,0140058879.mp3
5D704B7D0000332F,2014,0146638831.mp3
5D704B7D0000332F,2014,0160783265.mp3
5D704B7D0000332F,2014,0160984369.mp3
5D704B7D0000332F,2014,0162062975.mp3
5D704B7D0000332F,2014,0165120880.mp3
5D704B7D0000332F,2014,0169334324.mp3
5D704B7D0000332F,2014,0174283873.mp3
5D704B7D0000332F,2014,0174837084.mp3
5D704B7D0000332F,2014,0187732720.mp3
5D704B7D0000332F,2014,0188486921.mp3
5D704B7D0000332F,2014,0188563340.mp3
5D704B7D0000332F,2014,0198844597.mp3
5D704B7D0000332F,2014,0205007650.mp3
5D704B7D0000332F,2014,0206453674.mp3
5D704B7D0000332F,2014,0209248633.mp3
5D704B7D0000332F,2014,0212113033.mp3
5D704B7D0000332F,2014,0214821989.mp3
5D704B7D0000332F,2014,0216079145.mp3
5D704B7D0000332F,2014,0218326434.mp3
5D704B7D0000332F,2014,0221243664.mp3
5D704B7D0000332F,2014,0238904320.mp3
5D704B7D0000332F,2014,0249632800.mp3
5D704B7D0000332F,2014,0254490813.mp3
5D704B7D0000332F,2014,0255479207.mp3
5D704B7D0000332F,2014,0266251741.mp3
5D704B7D0000332F,2014,0270740828.mp3
5D704B7D0000332F,2014,0275604413.mp3
5D704B7D0000332F,2014,0275790897.mp3
5D704B7D0000332F,2014,0278770971.mp3
5D704B7D0000332F,2014,0292986229.mp3
