AudioData,ChildID,Age,onset,offset,chunk_pos
8667520832,1151_1,49.08,32262.68,32264.18,0
7345433308,1151_1,49.08,32262.68,32264.18,1
4666762530,1151_1,49.08,32262.68,32264.18,2
2799461410,1151_1,49.08,32284.06,32285.56,0
3959049950,1151_1,49.08,32284.06,32285.56,1
0491873567,1151_1,49.08,32284.06,32285.56,2
0605224996,1151_1,49.08,32292.76,32293.76,0
2063700453,1151_1,49.08,32292.76,32293.76,1
4107570474,1151_1,49.08,32294.53,32296.03,0
3180262686,1151_1,49.08,32294.53,32296.03,1
2729859670,1151_1,49.08,32294.53,32296.03,2
8150529235,1151_1,49.08,32309.99,32310.99,0
0841026894,1151_1,49.08,32309.99,32310.99,1
7908361816,1151_1,49.08,32313.11,32314.11,0
6832070872,1151_1,49.08,32313.11,32314.11,1
4591948659,1151_1,49.08,33578.02,33579.02,0
4829204379,1151_1,49.08,33578.02,33579.02,1
7568590973,1151_1,49.08,33586.15,33587.65,0
5388469186,1151_1,49.08,33586.15,33587.65,1
0461791945,1151_1,49.08,33586.15,33587.65,2
0106299938,1151_1,49.08,33587.55,33588.55,0
1831331370,1151_1,49.08,33587.55,33588.55,1
9962736651,1151_1,49.08,33643.18,33644.18,0
1961662490,1151_1,49.08,33643.18,33644.18,1
1002072192,1151_1,49.08,33650.22,33651.22,0
3316407450,1151_1,49.08,33650.22,33651.22,1
5201738069,1151_1,49.08,33651.00,33652.50,0
7251021354,1151_1,49.08,33651.00,33652.50,1
5551631452,1151_1,49.08,33651.00,33652.50,2
1944341436,1151_1,49.08,33653.51,33654.51,0
4338461994,1151_1,49.08,33653.51,33654.51,1
1559236654,1151_1,49.08,33708.23,33709.23,0
2865147854,1151_1,49.08,33708.23,33709.23,1
6222462362,1151_1,49.08,33714.30,33715.80,0
2141130673,1151_1,49.08,33714.30,33715.80,1
3250604126,1151_1,49.08,33714.30,33715.80,2
3571005135,1151_1,49.08,33718.01,33719.01,0
5381652807,1151_1,49.08,33718.01,33719.01,1
3976155135,1151_1,49.08,33718.71,33720.21,0
0403986993,1151_1,49.08,33718.71,33720.21,1
9793626077,1151_1,49.08,33718.71,33720.21,2
5580951885,1151_1,49.08,33740.48,33741.48,0
4860221402,1151_1,49.08,33740.48,33741.48,1
8698868856,1151_1,49.08,33749.23,33750.73,0
8949409068,1151_1,49.08,33749.23,33750.73,1
0290751685,1151_1,49.08,33749.23,33750.73,2
5806681577,1151_1,49.08,33760.77,33761.77,0
1163735741,1151_1,49.08,33760.77,33761.77,1
5464045072,1151_1,49.08,33780.31,33781.31,0
8348291764,1151_1,49.08,33780.31,33781.31,1
1032753320,1151_1,49.08,33796.26,33800.76,0
8408633817,1151_1,49.08,33796.26,33800.76,1
2685463831,1151_1,49.08,33796.26,33800.76,2
3377371398,1151_1,49.08,33796.26,33800.76,3
7116020348,1151_1,49.08,33796.26,33800.76,4
4843500802,1151_1,49.08,33796.26,33800.76,5
8998686322,1151_1,49.08,33796.26,33800.76,6
6753856433,1151_1,49.08,33796.26,33800.76,7
1964475108,1151_1,49.08,33796.26,33800.76,8
9481196608,1151_1,49.08,33802.46,33803.46,0
7068380392,1151_1,49.08,33802.46,33803.46,1
1725348174,1151_1,49.08,33810.61,33811.61,0
3292541825,1151_1,49.08,33810.61,33811.61,1
2782678873,1151_1,49.08,33814.76,33815.76,0
1547109933,1151_1,49.08,33814.76,33815.76,1
8120204712,1151_1,49.08,34449.58,34450.58,0
0183435501,1151_1,49.08,34449.58,34450.58,1
8726122457,1151_1,49.08,34463.18,34464.68,0
1673089457,1151_1,49.08,34463.18,34464.68,1
3530262997,1151_1,49.08,34463.18,34464.68,2
6402543730,1151_1,49.08,34465.22,34466.22,0
2393390538,1151_1,49.08,34465.22,34466.22,1
5195418457,1151_1,49.08,34469.22,34470.22,0
8813962603,1151_1,49.08,34469.22,34470.22,1
1359035070,1151_1,49.08,34485.66,34486.66,0
1710514251,1151_1,49.08,34485.66,34486.66,1
8651361336,1151_1,49.08,34488.58,34489.58,0
4312803032,1151_1,49.08,34488.58,34489.58,1
6062823978,1151_1,49.08,34499.52,34500.52,0
2920350253,1151_1,49.08,34499.52,34500.52,1
4714445845,1151_1,49.08,34526.57,34527.57,0
6422693251,1151_1,49.08,34526.57,34527.57,1
4778611754,1151_1,49.08,34534.47,34535.47,0
4237560803,1151_1,49.08,34534.47,34535.47,1
9308650237,1151_1,49.08,34541.44,34542.44,0
6751792021,1151_1,49.08,34541.44,34542.44,1
9345588336,1151_1,49.08,34542.88,34543.88,0
0221010695,1151_1,49.08,34542.88,34543.88,1
9939394551,1151_1,49.08,34544.76,34545.76,0
4794751740,1151_1,49.08,34544.76,34545.76,1
3499593968,1151_1,49.08,34572.78,34574.28,0
7501497407,1151_1,49.08,34572.78,34574.28,1
3764686636,1151_1,49.08,34572.78,34574.28,2
5061106892,1151_1,49.08,34612.75,34615.25,0
3019268268,1151_1,49.08,34612.75,34615.25,1
5841034821,1151_1,49.08,34612.75,34615.25,2
8308190535,1151_1,49.08,34612.75,34615.25,3
2200525346,1151_1,49.08,34612.75,34615.25,4
6768163651,1151_1,49.08,34621.90,34622.90,0
6736540935,1151_1,49.08,34621.90,34622.90,1
1326951736,1151_1,49.08,34628.12,34629.12,0
8467468956,1151_1,49.08,34628.12,34629.12,1
6727342215,1151_1,49.08,34639.06,34640.06,0
7688878072,1151_1,49.08,34639.06,34640.06,1
4998420772,1151_1,49.08,34642.84,34643.84,0
1525025292,1151_1,49.08,34642.84,34643.84,1
4951108816,1151_1,49.08,34645.55,34647.05,0
7426071329,1151_1,49.08,34645.55,34647.05,1
5145171057,1151_1,49.08,34645.55,34647.05,2
3632472996,1151_1,49.08,34648.13,34649.63,0
5091459890,1151_1,49.08,34648.13,34649.63,1
7712446355,1151_1,49.08,34648.13,34649.63,2
5242515508,1151_1,49.08,34649.32,34650.82,0
8942755375,1151_1,49.08,34649.32,34650.82,1
3007073573,1151_1,49.08,34649.32,34650.82,2
7059784335,1151_1,49.08,34653.26,34654.26,0
6002481963,1151_1,49.08,34653.26,34654.26,1
4605316512,1151_1,49.08,34654.90,34656.40,0
9331050289,1151_1,49.08,34654.90,34656.40,1
3405291001,1151_1,49.08,34654.90,34656.40,2
6071031265,1151_1,49.08,34658.99,34659.99,0
1685968490,1151_1,49.08,34658.99,34659.99,1
4847868436,1151_1,49.08,34662.14,34663.14,0
3295190791,1151_1,49.08,34662.14,34663.14,1
7473244547,1151_1,49.08,34666.97,34667.97,0
5312391628,1151_1,49.08,34666.97,34667.97,1
0219788587,1151_1,49.08,34668.60,34669.60,0
4554896956,1151_1,49.08,34668.60,34669.60,1
5395764595,1151_1,49.08,34670.20,34671.20,0
7010940297,1151_1,49.08,34670.20,34671.20,1
2602092469,1151_1,49.08,34674.06,34675.06,0
7706278780,1151_1,49.08,34674.06,34675.06,1
2246883399,1151_1,49.08,34675.66,34677.16,0
8239057312,1151_1,49.08,34675.66,34677.16,1
4211043851,1151_1,49.08,34675.66,34677.16,2
3679647709,1151_1,49.08,34679.78,34680.78,0
1541052131,1151_1,49.08,34679.78,34680.78,1
5417900376,1151_1,49.08,34681.46,34682.96,0
0442357523,1151_1,49.08,34681.46,34682.96,1
0347810449,1151_1,49.08,34681.46,34682.96,2
8142932293,1151_1,49.08,34683.57,34684.57,0
9091135748,1151_1,49.08,34683.57,34684.57,1
7422587903,1151_1,49.08,34687.10,34688.10,0
3521027837,1151_1,49.08,34687.10,34688.10,1
3480378114,1151_1,49.08,34692.43,34694.43,0
4470054603,1151_1,49.08,34692.43,34694.43,1
6333937208,1151_1,49.08,34692.43,34694.43,2
1401370147,1151_1,49.08,34692.43,34694.43,3
8634508032,1151_1,49.08,34694.09,34695.59,0
1787108082,1151_1,49.08,34694.09,34695.59,1
1452395112,1151_1,49.08,34694.09,34695.59,2
8521077246,1151_1,49.08,34695.32,34696.32,0
4037054131,1151_1,49.08,34695.32,34696.32,1
6452605843,1151_1,49.08,34702.52,34703.52,0
5920609384,1151_1,49.08,34702.52,34703.52,1
4488313883,1151_1,49.08,34703.95,34704.95,0
8348041610,1151_1,49.08,34703.95,34704.95,1
7397586091,1151_1,49.08,34736.01,34737.01,0
7246583124,1151_1,49.08,34736.01,34737.01,1
0684966046,1151_1,49.08,34744.74,34745.74,0
2717046189,1151_1,49.08,34744.74,34745.74,1
5648722988,1151_1,49.08,34755.55,34756.55,0
4234746673,1151_1,49.08,34755.55,34756.55,1
5433071156,1151_1,49.08,34759.04,34760.04,0
1837603648,1151_1,49.08,34759.04,34760.04,1
6722001438,1151_1,49.08,34764.32,34765.32,0
3814949043,1151_1,49.08,34764.32,34765.32,1
2734065917,1151_1,49.08,34767.49,34769.49,0
6212851958,1151_1,49.08,34767.49,34769.49,1
5792738268,1151_1,49.08,34767.49,34769.49,2
0006456981,1151_1,49.08,34767.49,34769.49,3
3419960150,1151_1,49.08,34773.11,34774.11,0
6278259318,1151_1,49.08,34773.11,34774.11,1
6065377765,1151_1,49.08,34801.77,34802.77,0
8699946564,1151_1,49.08,34801.77,34802.77,1
7193123374,1151_1,49.08,34803.46,34804.46,0
9516288532,1151_1,49.08,34803.46,34804.46,1
6357300431,1151_1,49.08,34806.51,34807.51,0
4350651945,1151_1,49.08,34806.51,34807.51,1
3693438947,1151_1,49.08,34807.29,34809.29,0
3242202669,1151_1,49.08,34807.29,34809.29,1
7090144861,1151_1,49.08,34807.29,34809.29,2
7949943182,1151_1,49.08,34807.29,34809.29,3
1437904878,1151_1,49.08,34810.16,34811.66,0
1418232380,1151_1,49.08,34810.16,34811.66,1
8820110390,1151_1,49.08,34810.16,34811.66,2
3928847782,1151_1,49.08,34812.60,34813.60,0
4141064887,1151_1,49.08,34812.60,34813.60,1
5820832915,1151_1,49.08,34816.94,34817.94,0
1526823870,1151_1,49.08,34816.94,34817.94,1
6850508899,1151_1,49.08,34822.32,34823.82,0
3008172409,1151_1,49.08,34822.32,34823.82,1
6989723968,1151_1,49.08,34822.32,34823.82,2
8967833639,1151_1,49.08,34827.53,34829.53,0
7436251926,1151_1,49.08,34827.53,34829.53,1
5531964743,1151_1,49.08,34827.53,34829.53,2
5084189402,1151_1,49.08,34827.53,34829.53,3
5601127723,1151_1,49.08,34829.15,34830.65,0
2891933616,1151_1,49.08,34829.15,34830.65,1
7712722140,1151_1,49.08,34829.15,34830.65,2
1208356847,1151_1,49.08,34836.67,34837.67,0
6725148160,1151_1,49.08,34836.67,34837.67,1
