AudioData	ChildID	Age	ITS
5776728086	5DB0A3B8000332FR	653	e20191024_000253_008232
8481760422	5DB0A3B8000332FR	653	e20191024_000253_008232
6619472804	5DB0A3B8000332FR	653	e20191024_000253_008232
4422604787	5DB0A3B8000332FR	653	e20191024_000253_008232
1978838336	5DB0A3B8000332FR	653	e20191024_000253_008232
3713304867	5DB0A3B8000332FR	653	e20191024_000253_008232
9453355228	5DB0A3B8000332FR	653	e20191024_000253_008232
4711519892	5DB0A3B8000332FR	653	e20191024_000253_008232
8577859705	5DB0A3B8000332FR	653	e20191024_000253_008232
4992077566	5DB0A3B8000332FR	653	e20191024_000253_008232
9904462824	5DB0A3B8000332FR	653	e20191024_000253_008232
7093897592	5DB0A3B8000332FR	653	e20191024_000253_008232
3755209685	5DB0A3B8000332FR	653	e20191024_000253_008232
0016189105	5DB0A3B8000332FR	653	e20191024_000253_008232
7608462397	5DB0A3B8000332FR	653	e20191024_000253_008232
1437418602	5DB0A3B8000332FR	653	e20191024_000253_008232
4976583925	5DB0A3B8000332FR	653	e20191024_000253_008232
9146584057	5DB0A3B8000332FR	653	e20191024_000253_008232
3108299698	5DB0A3B8000332FR	653	e20191024_000253_008232
5113446982	5DB0A3B8000332FR	653	e20191024_000253_008232
5652885785	5DB0A3B8000332FR	653	e20191024_000253_008232
6399200353	5DB0A3B8000332FR	653	e20191024_000253_008232
3516600444	5DB0A3B8000332FR	653	e20191024_000253_008232
5193699479	5DB0A3B8000332FR	653	e20191024_000253_008232
5586658347	5DB0A3B8000332FR	653	e20191024_000253_008232
2434625578	5DB0A3B8000332FR	653	e20191024_000253_008232
9728673301	5DB0A3B8000332FR	653	e20191024_000253_008232
5965628224	5DB0A3B8000332FR	653	e20191024_000253_008232
9572871350	5DB0A3B8000332FR	653	e20191024_000253_008232
6900171506	5DB0A3B8000332FR	653	e20191024_000253_008232
9978235683	5DB0A3B8000332FR	653	e20191024_000253_008232
4015694864	5DB0A3B8000332FR	653	e20191024_000253_008232
7824751556	5DB0A3B8000332FR	653	e20191024_000253_008232
6904850358	5DB0A3B8000332FR	653	e20191024_000253_008232
3260946274	5DB0A3B8000332FR	653	e20191024_000253_008232
8903559396	5DB0A3B8000332FR	653	e20191024_000253_008232
6457417315	5DB0A3B8000332FR	653	e20191024_000253_008232
6378325124	5DB0A3B8000332FR	653	e20191024_000253_008232
6790282615	5DB0A3B8000332FR	653	e20191024_000253_008232
2894165081	5DB0A3B8000332FR	653	e20191024_000253_008232
4571595306	5DB0A3B8000332FR	653	e20191024_000253_008232
6490933402	5DB0A3B8000332FR	653	e20191024_000253_008232
5903061148	5DB0A3B8000332FR	653	e20191024_000253_008232
0566821864	5DB0A3B8000332FR	653	e20191024_000253_008232
4153126760	5DB0A3B8000332FR	653	e20191024_000253_008232
3577288672	5DB0A3B8000332FR	653	e20191024_000253_008232
3687098780	5DB0A3B8000332FR	653	e20191024_000253_008232
2886100480	5DB0A3B8000332FR	653	e20191024_000253_008232
1998290116	5DB0A3B8000332FR	653	e20191024_000253_008232
2456148554	5DB0A3B8000332FR	653	e20191024_000253_008232
5803855141	5DB0A3B8000332FR	653	e20191024_000253_008232
6894512617	5DB0A3B8000332FR	653	e20191024_000253_008232
1776706778	5DB0A3B8000332FR	653	e20191024_000253_008232
4369107782	5DB0A3B8000332FR	653	e20191024_000253_008232
2113352035	5DB0A3B8000332FR	653	e20191024_000253_008232
8096124609	5DB0A3B8000332FR	653	e20191024_000253_008232
1795412795	5DB0A3B8000332FR	653	e20191024_000253_008232
3808955525	5DB0A3B8000332FR	653	e20191024_000253_008232
4582656527	5DB0A3B8000332FR	653	e20191024_000253_008232
6790729014	5DB0A3B8000332FR	653	e20191024_000253_008232
1072569101	5DB0A3B8000332FR	653	e20191024_000253_008232
7716468994	5DB0A3B8000332FR	653	e20191024_000253_008232
5757331577	5DB0A3B8000332FR	653	e20191024_000253_008232
3403554334	5DB0A3B8000332FR	653	e20191024_000253_008232
0032324120	5DB0A3B8000332FR	653	e20191024_000253_008232
9429377067	5DB0A3B8000332FR	653	e20191024_000253_008232
7625721054	5DB0A3B8000332FR	653	e20191024_000253_008232
5685332649	5DB0A3B8000332FR	653	e20191024_000253_008232
0421343290	5DB0A3B8000332FR	653	e20191024_000253_008232
1796622944	5DB0A3B8000332FR	653	e20191024_000253_008232
1060769710	5DB0A3B8000332FR	653	e20191024_000253_008232
3010336002	5DB0A3B8000332FR	653	e20191024_000253_008232
9306240408	5DB0A3B8000332FR	653	e20191024_000253_008232
0958236350	5DB0A3B8000332FR	653	e20191024_000253_008232
7606375378	5DB0A3B8000332FR	653	e20191024_000253_008232
4666350268	5DB0A3B8000332FR	653	e20191024_000253_008232
2762205834	5DB0A3B8000332FR	653	e20191024_000253_008232
7911576052	5DB0A3B8000332FR	653	e20191024_000253_008232
7419608892	5DB0A3B8000332FR	653	e20191024_000253_008232
5399370256	5DB0A3B8000332FR	653	e20191024_000253_008232
7898603074	5DB0A3B8000332FR	653	e20191024_000253_008232
5800641615	5DB0A3B8000332FR	653	e20191024_000253_008232
8021856492	5DB0A3B8000332FR	653	e20191024_000253_008232
5449193970	5DB0A3B8000332FR	653	e20191024_000253_008232
6023101525	5DB0A3B8000332FR	653	e20191024_000253_008232
0687764314	5DB0A3B8000332FR	653	e20191024_000253_008232
7172015829	5DB0A3B8000332FR	653	e20191024_000253_008232
2919671149	5DB0A3B8000332FR	653	e20191024_000253_008232
1172726449	5DB0A3B8000332FR	653	e20191024_000253_008232
9759525293	5DB0A3B8000332FR	653	e20191024_000253_008232
5895099333	5DB0A3B8000332FR	653	e20191024_000253_008232
6793094896	5DB0A3B8000332FR	653	e20191024_000253_008232
8676463926	5DB0A3B8000332FR	653	e20191024_000253_008232
9052964264	5DB0A3B8000332FR	653	e20191024_000253_008232
5225486435	5DB0A3B8000332FR	653	e20191024_000253_008232
8171346120	5DB0A3B8000332FR	653	e20191024_000253_008232
5563450032	5DB0A3B8000332FR	653	e20191024_000253_008232
5151303400	5DB0A3B8000332FR	653	e20191024_000253_008232
8859354286	5DB0A3B8000332FR	653	e20191024_000253_008232
7334534745	5DB0A3B8000332FR	653	e20191024_000253_008232
9093890530	5DB0A3B8000332FR	653	e20191024_000253_008232
0768283102	5DB0A3B8000332FR	653	e20191024_000253_008232
3843969618	5DB0A3B8000332FR	653	e20191024_000253_008232
8336605560	5DB0A3B8000332FR	653	e20191024_000253_008232
9164506416	5DB0A3B8000332FR	653	e20191024_000253_008232
7458749116	5DB0A3B8000332FR	653	e20191024_000253_008232
4556453770	5DB0A3B8000332FR	653	e20191024_000253_008232
4603935001	5DB0A3B8000332FR	653	e20191024_000253_008232
2040034174	5DB0A3B8000332FR	653	e20191024_000253_008232
7169790996	5DB0A3B8000332FR	653	e20191024_000253_008232
8230913720	5DB0A3B8000332FR	653	e20191024_000253_008232
