AudioData	ChildID	Age	ITS	onset	offset	chunk_pos
0611357693	597AF778000332AR	1376	e20181016_093911_013099	38490.325	38492.825	4
2906090982	597AF778000332AR	1376	e20181016_093911_013099	4023.65	4025.15	0
4352780670	597AF778000332AR	1376	e20181016_093911_013099	4023.65	4025.15	1
5105474952	597AF778000332AR	1376	e20181016_093911_013099	4023.65	4025.15	2
3787725561	597AF778000332AR	1376	e20181016_093911_013099	4037.8050000000003	4038.8050000000003	0
1700042834	597AF778000332AR	1376	e20181016_093911_013099	4037.8050000000003	4038.8050000000003	1
1778467477	597AF778000332AR	1376	e20181016_093911_013099	4054.3	4055.3	0
5309054037	597AF778000332AR	1376	e20181016_093911_013099	4054.3	4055.3	1
6216816827	597AF778000332AR	1376	e20181016_093911_013099	4095.2200000000003	4097.22	0
9594560227	597AF778000332AR	1376	e20181016_093911_013099	4095.2200000000003	4097.22	1
0706482559	597AF778000332AR	1376	e20181016_093911_013099	4095.2200000000003	4097.22	2
8541079534	597AF778000332AR	1376	e20181016_093911_013099	4095.2200000000003	4097.22	3
0253664118	597AF778000332AR	1376	e20181016_093911_013099	42796.509999999995	42797.509999999995	0
7098349092	597AF778000332AR	1376	e20181016_093911_013099	42796.509999999995	42797.509999999995	1
6047660812	597AF778000332AR	1376	e20181016_093911_013099	43957.36	43959.36	0
5213128227	597AF778000332AR	1376	e20181016_093911_013099	43957.36	43959.36	1
0649445198	597AF778000332AR	1376	e20181016_093911_013099	43957.36	43959.36	2
6414394488	597AF778000332AR	1376	e20181016_093911_013099	43957.36	43959.36	3
0446157437	597AF778000332AR	1376	e20181016_093911_013099	44022.94	44023.94	0
2175965994	597AF778000332AR	1376	e20181016_093911_013099	44022.94	44023.94	1
0560898121	597AF778000332AR	1376	e20181016_093911_013099	44038.125	44039.125	0
3629425598	597AF778000332AR	1376	e20181016_093911_013099	44038.125	44039.125	1
8199258842	597AF778000332AR	1376	e20181016_093911_013099	44045.115	44047.615	0
1061723299	597AF778000332AR	1376	e20181016_093911_013099	44045.115	44047.615	1
2886148308	597AF778000332AR	1376	e20181016_093911_013099	44045.115	44047.615	2
3351274050	597AF778000332AR	1376	e20181016_093911_013099	44045.115	44047.615	3
1029424992	597AF778000332AR	1376	e20181016_093911_013099	44045.115	44047.615	4
1338695068	597AF778000332AR	1376	e20181016_093911_013099	4462.2	4463.2	0
5538273918	597AF778000332AR	1376	e20181016_093911_013099	4462.2	4463.2	1
5967656680	597AF778000332AR	1376	e20181016_093911_013099	44836.59	44837.59	0
3968197008	597AF778000332AR	1376	e20181016_093911_013099	44836.59	44837.59	1
9367821053	597AF778000332AR	1376	e20181016_093911_013099	44948.149999999994	44949.149999999994	0
4736934499	597AF778000332AR	1376	e20181016_093911_013099	44948.149999999994	44949.149999999994	1
7721649674	597AF778000332AR	1376	e20181016_093911_013099	44968.270000000004	44970.770000000004	0
8035089092	597AF778000332AR	1376	e20181016_093911_013099	44968.270000000004	44970.770000000004	1
3269956577	597AF778000332AR	1376	e20181016_093911_013099	44968.270000000004	44970.770000000004	2
1399215701	597AF778000332AR	1376	e20181016_093911_013099	44968.270000000004	44970.770000000004	3
1719998583	597AF778000332AR	1376	e20181016_093911_013099	44968.270000000004	44970.770000000004	4
0098967955	597AF778000332AR	1376	e20181016_093911_013099	4499.72	4501.22	0
6239537723	597AF778000332AR	1376	e20181016_093911_013099	4499.72	4501.22	1
0755832865	597AF778000332AR	1376	e20181016_093911_013099	4499.72	4501.22	2
0407392647	597AF778000332AR	1376	e20181016_093911_013099	45175.494999999995	45176.994999999995	0
4639115263	597AF778000332AR	1376	e20181016_093911_013099	45175.494999999995	45176.994999999995	1
5276798921	597AF778000332AR	1376	e20181016_093911_013099	45175.494999999995	45176.994999999995	2
7328293596	597AF778000332AR	1376	e20181016_093911_013099	45376.67	45378.67	0
6067057312	597AF778000332AR	1376	e20181016_093911_013099	45376.67	45378.67	1
6067186586	597AF778000332AR	1376	e20181016_093911_013099	45376.67	45378.67	2
3207730067	597AF778000332AR	1376	e20181016_093911_013099	45376.67	45378.67	3
3688541773	597AF778000332AR	1376	e20181016_093911_013099	45688.880000000005	45689.880000000005	0
0055891716	597AF778000332AR	1376	e20181016_093911_013099	45688.880000000005	45689.880000000005	1
0747558676	597AF778000332AR	1376	e20181016_093911_013099	45954.93	45955.93	0
2943000225	597AF778000332AR	1376	e20181016_093911_013099	45954.93	45955.93	1
5730484932	597AF778000332AR	1376	e20181016_093911_013099	46055.485	46056.485	0
0691749183	597AF778000332AR	1376	e20181016_093911_013099	46055.485	46056.485	1
5385699808	597AF778000332AR	1376	e20181016_093911_013099	46139.155	46140.155	0
4416563298	597AF778000332AR	1376	e20181016_093911_013099	46139.155	46140.155	1
7334324432	597AF778000332AR	1376	e20181016_093911_013099	46438.119999999995	46439.119999999995	0
6449048007	597AF778000332AR	1376	e20181016_093911_013099	46438.119999999995	46439.119999999995	1
1694915821	597AF778000332AR	1376	e20181016_093911_013099	46611.685	46612.685	0
5549081092	597AF778000332AR	1376	e20181016_093911_013099	46611.685	46612.685	1
2650522348	597AF778000332AR	1376	e20181016_093911_013099	46762.87	46764.37	0
6845783851	597AF778000332AR	1376	e20181016_093911_013099	46762.87	46764.37	1
2523538879	597AF778000332AR	1376	e20181016_093911_013099	46762.87	46764.37	2
1691683819	597AF778000332AR	1376	e20181016_093911_013099	47080.69	47081.69	0
1053924597	597AF778000332AR	1376	e20181016_093911_013099	47080.69	47081.69	1
0666076404	597AF778000332AR	1376	e20181016_093911_013099	47175.16	47176.16	0
9208621533	597AF778000332AR	1376	e20181016_093911_013099	47175.16	47176.16	1
5503067705	597AF778000332AR	1376	e20181016_093911_013099	47201.945	47202.945	0
3920981076	597AF778000332AR	1376	e20181016_093911_013099	47201.945	47202.945	1
9655286850	597AF778000332AR	1376	e20181016_093911_013099	47234.92	47236.42	0
6863921028	597AF778000332AR	1376	e20181016_093911_013099	47234.92	47236.42	1
2078393351	597AF778000332AR	1376	e20181016_093911_013099	47234.92	47236.42	2
0754362996	597AF778000332AR	1376	e20181016_093911_013099	47305.53	47307.53	0
2511357144	597AF778000332AR	1376	e20181016_093911_013099	47305.53	47307.53	1
8606559712	597AF778000332AR	1376	e20181016_093911_013099	47305.53	47307.53	2
1121036122	597AF778000332AR	1376	e20181016_093911_013099	47305.53	47307.53	3
2149439184	597AF778000332AR	1376	e20181016_093911_013099	47368.869999999995	47370.369999999995	0
2329244851	597AF778000332AR	1376	e20181016_093911_013099	47368.869999999995	47370.369999999995	1
7752563620	597AF778000332AR	1376	e20181016_093911_013099	47368.869999999995	47370.369999999995	2
8641445379	597AF778000332AR	1376	e20181016_093911_013099	47380.54	47382.54	0
8040971993	597AF778000332AR	1376	e20181016_093911_013099	47380.54	47382.54	1
8965661800	597AF778000332AR	1376	e20181016_093911_013099	47380.54	47382.54	2
0549835969	597AF778000332AR	1376	e20181016_093911_013099	47380.54	47382.54	3
1056266887	597AF778000332AR	1376	e20181016_093911_013099	47469.9	47472.4	0
0303819120	597AF778000332AR	1376	e20181016_093911_013099	47469.9	47472.4	1
7128538843	597AF778000332AR	1376	e20181016_093911_013099	47469.9	47472.4	2
9678184611	597AF778000332AR	1376	e20181016_093911_013099	47469.9	47472.4	3
3865185793	597AF778000332AR	1376	e20181016_093911_013099	47469.9	47472.4	4
4416812369	597AF778000332AR	1376	e20181016_093911_013099	47521.555	47522.555	0
2629498324	597AF778000332AR	1376	e20181016_093911_013099	47521.555	47522.555	1
0715483367	597AF778000332AR	1376	e20181016_093911_013099	47938.979999999996	47939.979999999996	0
6782432651	597AF778000332AR	1376	e20181016_093911_013099	47938.979999999996	47939.979999999996	1
4685312257	597AF778000332AR	1376	e20181016_093911_013099	48074.100000000006	48076.100000000006	0
6625204726	597AF778000332AR	1376	e20181016_093911_013099	48074.100000000006	48076.100000000006	1
5537837144	597AF778000332AR	1376	e20181016_093911_013099	48074.100000000006	48076.100000000006	2
