AudioData,ChildID,Age,ITS,offset
0792983658,5E4E988900002028,374,e20200220_153526_008232,10042_64_10043_91
0670670604,5E4E988900002028,374,e20200220_153526_008232,10042_64_10043_91
0199324242,5E4E988900002028,374,e20200220_153526_008232,10042_64_10043_91
0699491997,5E4E988900002028,374,e20200220_153526_008232,10185_27_10186_75
0453453121,5E4E988900002028,374,e20200220_153526_008232,10185_27_10186_75
0701666128,5E4E988900002028,374,e20200220_153526_008232,10185_27_10186_75
0896152629,5E4E988900002028,374,e20200220_153526_008232,10185_27_10186_75
0123914889,5E4E988900002028,374,e20200220_153526_008232,10218_7_10219_73
0163891383,5E4E988900002028,374,e20200220_153526_008232,10218_7_10219_73
0303354013,5E4E988900002028,374,e20200220_153526_008232,10218_7_10219_73
0356541180,5E4E988900002028,374,e20200220_153526_008232,10232_24_10233_47
0603042554,5E4E988900002028,374,e20200220_153526_008232,10232_24_10233_47
0266680489,5E4E988900002028,374,e20200220_153526_008232,10232_24_10233_47
0701792266,5E4E988900002028,374,e20200220_153526_008232,10245_73_10246_76
0184136183,5E4E988900002028,374,e20200220_153526_008232,10245_73_10246_76
0555219014,5E4E988900002028,374,e20200220_153526_008232,10245_73_10246_76
0389645408,5E4E988900002028,374,e20200220_153526_008232,1078_86_1079_46
0081710374,5E4E988900002028,374,e20200220_153526_008232,1078_86_1079_46
0825358764,5E4E988900002028,374,e20200220_153526_008232,1089_52_1090_12
0557765088,5E4E988900002028,374,e20200220_153526_008232,1089_52_1090_12
0896315834,5E4E988900002028,374,e20200220_153526_008232,11481_72_11482_32
0008203353,5E4E988900002028,374,e20200220_153526_008232,11481_72_11482_32
0060196445,5E4E988900002028,374,e20200220_153526_008232,1155_86_1156_46
0684837231,5E4E988900002028,374,e20200220_153526_008232,1155_86_1156_46
0278268401,5E4E988900002028,374,e20200220_153526_008232,1158_47_1159_07
0564976637,5E4E988900002028,374,e20200220_153526_008232,1158_47_1159_07
0246795390,5E4E988900002028,374,e20200220_153526_008232,11781_53_11782_14
0935233773,5E4E988900002028,374,e20200220_153526_008232,11781_53_11782_14
0347681594,5E4E988900002028,374,e20200220_153526_008232,11965_38_11966_57
0975138493,5E4E988900002028,374,e20200220_153526_008232,11965_38_11966_57
0545475310,5E4E988900002028,374,e20200220_153526_008232,11965_38_11966_57
0269392568,5E4E988900002028,374,e20200220_153526_008232,12048_1_12049_35
0827253202,5E4E988900002028,374,e20200220_153526_008232,12048_1_12049_35
0980710568,5E4E988900002028,374,e20200220_153526_008232,12048_1_12049_35
0312984321,5E4E988900002028,374,e20200220_153526_008232,12402_97_12404_01
0788942448,5E4E988900002028,374,e20200220_153526_008232,12402_97_12404_01
0631336866,5E4E988900002028,374,e20200220_153526_008232,12402_97_12404_01
0397245877,5E4E988900002028,374,e20200220_153526_008232,12413_99_12414_69
0235688220,5E4E988900002028,374,e20200220_153526_008232,12413_99_12414_69
0415495758,5E4E988900002028,374,e20200220_153526_008232,12480_68_12482_04
0010026516,5E4E988900002028,374,e20200220_153526_008232,12480_68_12482_04
0880948011,5E4E988900002028,374,e20200220_153526_008232,12480_68_12482_04
0521034598,5E4E988900002028,374,e20200220_153526_008232,12480_68_12482_04
0775603356,5E4E988900002028,374,e20200220_153526_008232,1249_82_1250_48
0262939573,5E4E988900002028,374,e20200220_153526_008232,1249_82_1250_48
0464106145,5E4E988900002028,374,e20200220_153526_008232,12569_69_12570_3
0942443982,5E4E988900002028,374,e20200220_153526_008232,12569_69_12570_3
0634300033,5E4E988900002028,374,e20200220_153526_008232,12647_01_12647_61
0399381438,5E4E988900002028,374,e20200220_153526_008232,12647_01_12647_61
0164000483,5E4E988900002028,374,e20200220_153526_008232,12821_3_12823_55
0805549344,5E4E988900002028,374,e20200220_153526_008232,12821_3_12823_55
0997723504,5E4E988900002028,374,e20200220_153526_008232,12821_3_12823_55
0749288379,5E4E988900002028,374,e20200220_153526_008232,12821_3_12823_55
0744235390,5E4E988900002028,374,e20200220_153526_008232,12821_3_12823_55
0883413431,5E4E988900002028,374,e20200220_153526_008232,12821_3_12823_55
0356786017,5E4E988900002028,374,e20200220_153526_008232,12955_67_12956_27
0995633074,5E4E988900002028,374,e20200220_153526_008232,12955_67_12956_27
0908372692,5E4E988900002028,374,e20200220_153526_008232,13344_4_13345_0
0420336977,5E4E988900002028,374,e20200220_153526_008232,13344_4_13345_0
0711932728,5E4E988900002028,374,e20200220_153526_008232,13381_24_13382_73
0626437059,5E4E988900002028,374,e20200220_153526_008232,13381_24_13382_73
0438934440,5E4E988900002028,374,e20200220_153526_008232,13381_24_13382_73
0270263931,5E4E988900002028,374,e20200220_153526_008232,13381_24_13382_73
0048533514,5E4E988900002028,374,e20200220_153526_008232,13425_25_13425_87
0222298102,5E4E988900002028,374,e20200220_153526_008232,13425_25_13425_87
0865472067,5E4E988900002028,374,e20200220_153526_008232,13615_64_13616_26
0608610164,5E4E988900002028,374,e20200220_153526_008232,13615_64_13616_26
0442098609,5E4E988900002028,374,e20200220_153526_008232,1422_24_1427_35
0047915104,5E4E988900002028,374,e20200220_153526_008232,1422_24_1427_35
0787969639,5E4E988900002028,374,e20200220_153526_008232,1422_24_1427_35
0589771716,5E4E988900002028,374,e20200220_153526_008232,1422_24_1427_35
0702738932,5E4E988900002028,374,e20200220_153526_008232,1422_24_1427_35
0502301702,5E4E988900002028,374,e20200220_153526_008232,1422_24_1427_35
0122601580,5E4E988900002028,374,e20200220_153526_008232,1422_24_1427_35
0269247671,5E4E988900002028,374,e20200220_153526_008232,1422_24_1427_35
0934129663,5E4E988900002028,374,e20200220_153526_008232,1422_24_1427_35
0546493614,5E4E988900002028,374,e20200220_153526_008232,1422_24_1427_35
0313448221,5E4E988900002028,374,e20200220_153526_008232,1422_24_1427_35
0321877699,5E4E988900002028,374,e20200220_153526_008232,1422_24_1427_35
0528681701,5E4E988900002028,374,e20200220_153526_008232,1422_24_1427_35
0615395813,5E4E988900002028,374,e20200220_153526_008232,1432_74_1434_02
0927624027,5E4E988900002028,374,e20200220_153526_008232,1432_74_1434_02
0972415083,5E4E988900002028,374,e20200220_153526_008232,1432_74_1434_02
0968671385,5E4E988900002028,374,e20200220_153526_008232,14348_22_14348_82
0842205160,5E4E988900002028,374,e20200220_153526_008232,14348_22_14348_82
0138305324,5E4E988900002028,374,e20200220_153526_008232,14543_69_14544_31
0333678628,5E4E988900002028,374,e20200220_153526_008232,14543_69_14544_31
0771417234,5E4E988900002028,374,e20200220_153526_008232,14856_38_14856_99
0382592884,5E4E988900002028,374,e20200220_153526_008232,14856_38_14856_99
0461569006,5E4E988900002028,374,e20200220_153526_008232,14883_89_14884_49
0718337320,5E4E988900002028,374,e20200220_153526_008232,14883_89_14884_49
0731278394,5E4E988900002028,374,e20200220_153526_008232,14933_36_14934_6
0246625182,5E4E988900002028,374,e20200220_153526_008232,14933_36_14934_6
0684837404,5E4E988900002028,374,e20200220_153526_008232,14933_36_14934_6
0126268415,5E4E988900002028,374,e20200220_153526_008232,14961_81_14962_95
0485368036,5E4E988900002028,374,e20200220_153526_008232,14961_81_14962_95
0136212097,5E4E988900002028,374,e20200220_153526_008232,14961_81_14962_95
0120412262,5E4E988900002028,374,e20200220_153526_008232,15280_11_15280_86
0927563990,5E4E988900002028,374,e20200220_153526_008232,15280_11_15280_86
0707569022,5E4E988900002028,374,e20200220_153526_008232,15282_59_15284_08
0143906500,5E4E988900002028,374,e20200220_153526_008232,15282_59_15284_08
0720013512,5E4E988900002028,374,e20200220_153526_008232,15282_59_15284_08
0447328895,5E4E988900002028,374,e20200220_153526_008232,15282_59_15284_08
0026716466,5E4E988900002028,374,e20200220_153526_008232,15406_48_15407_48
0841041086,5E4E988900002028,374,e20200220_153526_008232,15406_48_15407_48
