idx,segmentId_DB,ChildID,Age,filename,Starttime,Endtime,Major_Choice,Num_Agreement,Zoon_classif
683,4503.DB1,1151_1,49.08,20181206_151905_022874,28200.55,28201.15,Non-canonical syllables,3,Non-Canonical
684,5346.DB1,1151_1,49.08,20181206_151905_022874,28215.36,28216.5,Non-canonical syllables,3,Non-Canonical
685,2738.DB1,1151_1,49.08,20181206_151905_022874,28224.59,28225.19,Non-canonical syllables,3,Junk
686,3422.DB1,1151_1,49.08,20181206_151905_022874,28226.15,28227.1,Non-canonical syllables,2,Canonical
687,5067.DB1,1151_1,49.08,20181206_151905_022874,28250.89,28252.76,Non-canonical syllables,3,Non-Canonical
688,5744.DB1,1151_1,49.08,20181206_151905_022874,28254.92,28255.98,Non-canonical syllables,2,Non-Canonical
689,4821.DB1,1151_1,49.08,20181206_151905_022874,28262.44,28263.04,Non-canonical syllables,3,Non-Canonical
690,5561.DB1,1151_1,49.08,20181206_151905_022874,28319.74,28321.46,Non-canonical syllables,3,Non-Canonical
691,4474.DB1,1151_1,49.08,20181206_151905_022874,28324.45,28325.12,Don't mark,3,Canonical
692,6110.DB1,1151_1,49.08,20181206_151905_022874,28325.12,28326.16,Don't mark,3,Non-Canonical
693,6481.DB1,1151_1,49.08,20181206_151905_022874,28326.16,28326.77,Non-canonical syllables,3,Canonical
694,6186.DB1,1151_1,49.08,20181206_151905_022874,28328.87,28329.77,Non-canonical syllables,2,Non-Canonical
695,3285.DB1,1151_1,49.08,20181206_151905_022874,28336.31,28336.91,Non-canonical syllables,3,Non-Canonical
696,5537.DB1,1151_1,49.08,20181206_151905_022874,28346.75,28348.25,Non-canonical syllables,3,Non-Canonical
697,4785.DB1,1151_1,49.08,20181206_151905_022874,28358.72,28359.85,Non-canonical syllables,3,Non-Canonical
698,6294.DB1,1151_1,49.08,20181206_151905_022874,28362.25,28364.58,Non-canonical syllables,3,Non-Canonical
699,5187.DB1,1151_1,49.08,20181206_151905_022874,28365.38,28369.17,Non-canonical syllables,3,Non-Canonical
700,4185.DB1,1151_1,49.08,20181206_151905_022874,28371.18,28374.27,Non-canonical syllables,3,Non-Canonical
701,3397.DB1,1151_1,49.08,20181206_151905_022874,28375.07,28377.16,Non-canonical syllables,3,Non-Canonical
702,6872.DB1,1151_1,49.08,20181206_151905_022874,28380.0,28381.69,Non-canonical syllables,2,Non-Canonical
703,6024.DB1,1151_1,49.08,20181206_151905_022874,28381.69,28382.7,Non-canonical syllables,3,Non-Canonical
704,7006.DB1,1151_1,49.08,20181206_151905_022874,28384.0,28384.6,Non-canonical syllables,3,Non-Canonical
705,7315.DB1,1151_1,49.08,20181206_151905_022874,28385.4,28386.0,Non-canonical syllables,3,Non-Canonical
706,6033.DB1,1151_1,49.08,20181206_151905_022874,28389.56,28390.56,Non-canonical syllables,2,Non-Canonical
707,5915.DB1,1151_1,49.08,20181206_151905_022874,28390.56,28391.16,Non-canonical syllables,3,Mixed_Non-Canonical_Crying
708,5327.DB1,1151_1,49.08,20181206_151905_022874,28391.96,28392.77,Non-canonical syllables,3,Non-Canonical
709,4141.DB1,1151_1,49.08,20181206_151905_022874,28394.04,28395.35,Non-canonical syllables,3,Mixed_Non-Canonical_Laughing
710,4399.DB1,1151_1,49.08,20181206_151905_022874,28396.15,28398.94,Non-canonical syllables,3,Non-Canonical
711,3686.DB1,1151_1,49.08,20181206_151905_022874,28409.31,28411.53,Canonical syllables,2,Canonical
712,4545.DB1,1151_1,49.08,20181206_151905_022874,28415.78,28417.32,Non-canonical syllables,3,Non-Canonical
713,4888.DB1,1151_1,49.08,20181206_151905_022874,28421.64,28423.14,Don't mark,2,Non-Canonical
714,6599.DB1,1151_1,49.08,20181206_151905_022874,28423.14,28424.99,Don't mark,3,Canonical
715,6484.DB1,1151_1,49.08,20181206_151905_022874,28425.79,28426.79,Don't mark,3,Canonical
716,5308.DB1,1151_1,49.08,20181206_151905_022874,28428.39,28429.89,Non-canonical syllables,3,Non-Canonical
717,5967.DB1,1151_1,49.08,20181206_151905_022874,28429.89,28430.89,Don't mark,3,Canonical
718,5475.DB1,1151_1,49.08,20181206_151905_022874,28430.89,28431.82,Don't mark,3,Non-Canonical
719,5737.DB1,1151_1,49.08,20181206_151905_022874,28431.82,28433.84,Don't mark,3,Non-Canonical
