"","chunk_info","Answer","nvotes","sumvotes","ChildID","filename"
"1111_1 0294427897.mp3 25379.85 1","1111_1 0294427897.mp3 25379.85 1","","2","5","1111_1","0294427897.mp3"
"1111_1 0295242792.mp3 25302.77 2","1111_1 0295242792.mp3 25302.77 2","Non-Canonical","3","5","1111_1","0295242792.mp3"
"1111_1 0297123870.mp3 19590.65 0","1111_1 0297123870.mp3 19590.65 0","Non-Canonical","3","5","1111_1","0297123870.mp3"
"1111_1 0298102724.mp3 35614.51 0","1111_1 0298102724.mp3 35614.51 0","","2","5","1111_1","0298102724.mp3"
"1111_1 0301846613.mp3 35926.34 0","1111_1 0301846613.mp3 35926.34 0","Laughing","3","5","1111_1","0301846613.mp3"
"1111_1 0310724189.mp3 36145.54 1","1111_1 0310724189.mp3 36145.54 1","Non-Canonical","3","5","1111_1","0310724189.mp3"
"1111_1 0317116104.mp3 39933.17 0","1111_1 0317116104.mp3 39933.17 0","Non-Canonical","4","5","1111_1","0317116104.mp3"
"1111_1 0317372324.mp3 25149.28 0","1111_1 0317372324.mp3 25149.28 0","Canonical","3","5","1111_1","0317372324.mp3"
"1111_1 0322377266.mp3 28799.79 0","1111_1 0322377266.mp3 28799.79 0","","2","5","1111_1","0322377266.mp3"
"1111_1 0326199838.mp3 36074.17 2","1111_1 0326199838.mp3 36074.17 2","Non-Canonical","4","5","1111_1","0326199838.mp3"
"1111_1 0357939420.mp3 35862.05 3","1111_1 0357939420.mp3 35862.05 3","Non-Canonical","3","5","1111_1","0357939420.mp3"
"1111_1 0359437220.mp3 35788.56 0","1111_1 0359437220.mp3 35788.56 0","Non-Canonical","3","5","1111_1","0359437220.mp3"
"1111_1 0365786989.mp3 25010.53 1","1111_1 0365786989.mp3 25010.53 1","Laughing","3","5","1111_1","0365786989.mp3"
"1111_1 0373479295.mp3 25302.77 0","1111_1 0373479295.mp3 25302.77 0","Non-Canonical","4","5","1111_1","0373479295.mp3"
"1111_1 0376903973.mp3 20546.74 0","1111_1 0376903973.mp3 20546.74 0","Non-Canonical","4","5","1111_1","0376903973.mp3"
"1111_1 0389722376.mp3 36229.66 2","1111_1 0389722376.mp3 36229.66 2","Non-Canonical","4","5","1111_1","0389722376.mp3"
"1111_1 0392846951.mp3 35987.61 1","1111_1 0392846951.mp3 35987.61 1","Crying","3","5","1111_1","0392846951.mp3"
"1111_1 0403887251.mp3 25219.62 0","1111_1 0403887251.mp3 25219.62 0","","2","5","1111_1","0403887251.mp3"
"1111_1 0413949063.mp3 39982.58 0","1111_1 0413949063.mp3 39982.58 0","Non-Canonical","4","5","1111_1","0413949063.mp3"
"1111_1 0420920576.mp3 35598.49 2","1111_1 0420920576.mp3 35598.49 2","Non-Canonical","4","5","1111_1","0420920576.mp3"
"1111_1 0429663486.mp3 24852.02 0","1111_1 0429663486.mp3 24852.02 0","","2","5","1111_1","0429663486.mp3"
"1111_1 0432790961.mp3 19695.58 3","1111_1 0432790961.mp3 19695.58 3","Non-Canonical","4","5","1111_1","0432790961.mp3"
"1111_1 0433644349.mp3 22011.92 1","1111_1 0433644349.mp3 22011.92 1","Non-Canonical","5","5","1111_1","0433644349.mp3"
"1111_1 0442727406.mp3 25097.62 1","1111_1 0442727406.mp3 25097.62 1","Junk","4","5","1111_1","0442727406.mp3"
"1111_1 0457199784.mp3 25384.74 2","1111_1 0457199784.mp3 25384.74 2","Junk","4","5","1111_1","0457199784.mp3"
"1111_1 0462488716.mp3 20617.24 0","1111_1 0462488716.mp3 20617.24 0","","2","5","1111_1","0462488716.mp3"
"1111_1 0482407008.mp3 19562.03 0","1111_1 0482407008.mp3 19562.03 0","Non-Canonical","3","5","1111_1","0482407008.mp3"
"1111_1 0487127222.mp3 6673.55 2","1111_1 0487127222.mp3 6673.55 2","Junk","5","5","1111_1","0487127222.mp3"
"1111_1 0489380800.mp3 25384.74 1","1111_1 0489380800.mp3 25384.74 1","","2","5","1111_1","0489380800.mp3"
"1111_1 0490086802.mp3 25349.17 0","1111_1 0490086802.mp3 25349.17 0","Non-Canonical","5","5","1111_1","0490086802.mp3"
"1111_1 0496475940.mp3 35681.05 1","1111_1 0496475940.mp3 35681.05 1","Non-Canonical","4","5","1111_1","0496475940.mp3"
"1111_1 0499127408.mp3 35760.15 1","1111_1 0499127408.mp3 35760.15 1","Non-Canonical","4","5","1111_1","0499127408.mp3"
"1111_1 0500579386.mp3 24939.76 1","1111_1 0500579386.mp3 24939.76 1","","2","5","1111_1","0500579386.mp3"
"1111_1 0502387611.mp3 35758.5 1","1111_1 0502387611.mp3 35758.5 1","Non-Canonical","3","5","1111_1","0502387611.mp3"
"1111_1 0506485756.mp3 25348.08 2","1111_1 0506485756.mp3 25348.08 2","Non-Canonical","5","5","1111_1","0506485756.mp3"
"1111_1 0512214086.mp3 28896.54 0","1111_1 0512214086.mp3 28896.54 0","Non-Canonical","3","5","1111_1","0512214086.mp3"
"1111_1 0515553226.mp3 35838.24 1","1111_1 0515553226.mp3 35838.24 1","Non-Canonical","5","5","1111_1","0515553226.mp3"
"1111_1 0534645827.mp3 8178.88 0","1111_1 0534645827.mp3 8178.88 0","Non-Canonical","3","5","1111_1","0534645827.mp3"
"1111_1 0548617394.mp3 24961.06 0","1111_1 0548617394.mp3 24961.06 0","Non-Canonical","4","5","1111_1","0548617394.mp3"
"1111_1 0555294155.mp3 24904.25 1","1111_1 0555294155.mp3 24904.25 1","Non-Canonical","3","5","1111_1","0555294155.mp3"
"1111_1 0557595895.mp3 6645.97 1","1111_1 0557595895.mp3 6645.97 1","","2","5","1111_1","0557595895.mp3"
"1111_1 0563040244.mp3 8236.1 0","1111_1 0563040244.mp3 8236.1 0","Non-Canonical","5","5","1111_1","0563040244.mp3"
"1111_1 0594564312.mp3 28698.4 2","1111_1 0594564312.mp3 28698.4 2","Non-Canonical","3","5","1111_1","0594564312.mp3"
"1111_1 0607867666.mp3 25382.81 1","1111_1 0607867666.mp3 25382.81 1","Non-Canonical","4","5","1111_1","0607867666.mp3"
"1111_1 0611321207.mp3 6691.38 1","1111_1 0611321207.mp3 6691.38 1","Junk","3","5","1111_1","0611321207.mp3"
"1111_1 0617553664.mp3 24913.08 0","1111_1 0617553664.mp3 24913.08 0","Non-Canonical","3","5","1111_1","0617553664.mp3"
"1111_1 0625736106.mp3 21873.21 1","1111_1 0625736106.mp3 21873.21 1","Junk","3","5","1111_1","0625736106.mp3"
"1111_1 0626894477.mp3 6683.64 2","1111_1 0626894477.mp3 6683.64 2","","2","5","1111_1","0626894477.mp3"
"1111_1 0629887476.mp3 39582.31 2","1111_1 0629887476.mp3 39582.31 2","Non-Canonical","4","5","1111_1","0629887476.mp3"
"1111_1 0630214743.mp3 28799.79 1","1111_1 0630214743.mp3 28799.79 1","Junk","5","5","1111_1","0630214743.mp3"
"1111_1 0637910313.mp3 35459.43 1","1111_1 0637910313.mp3 35459.43 1","Non-Canonical","3","5","1111_1","0637910313.mp3"
"1111_1 0657188852.mp3 8249.68 1","1111_1 0657188852.mp3 8249.68 1","Non-Canonical","4","5","1111_1","0657188852.mp3"
"1111_1 0661299730.mp3 35483.79 5","1111_1 0661299730.mp3 35483.79 5","Non-Canonical","3","5","1111_1","0661299730.mp3"
"1111_1 0672009795.mp3 28874.54 0","1111_1 0672009795.mp3 28874.54 0","Non-Canonical","3","5","1111_1","0672009795.mp3"
"1111_1 0676698842.mp3 35985.08 0","1111_1 0676698842.mp3 35985.08 0","Non-Canonical","3","5","1111_1","0676698842.mp3"
"1111_1 0683811778.mp3 24996.43 0","1111_1 0683811778.mp3 24996.43 0","Junk","4","5","1111_1","0683811778.mp3"
"1111_1 0706870391.mp3 35818.67 0","1111_1 0706870391.mp3 35818.67 0","Junk","3","5","1111_1","0706870391.mp3"
"1111_1 0710353791.mp3 32396.83 1","1111_1 0710353791.mp3 32396.83 1","Non-Canonical","3","5","1111_1","0710353791.mp3"
"1111_1 0720516660.mp3 8312.2 2","1111_1 0720516660.mp3 8312.2 2","Non-Canonical","4","5","1111_1","0720516660.mp3"
"1111_1 0725662410.mp3 28948.61 0","1111_1 0725662410.mp3 28948.61 0","Junk","4","5","1111_1","0725662410.mp3"
"1111_1 0735428137.mp3 44820.52 0","1111_1 0735428137.mp3 44820.52 0","Crying","3","5","1111_1","0735428137.mp3"
"1111_1 0741408725.mp3 40050.99 1","1111_1 0741408725.mp3 40050.99 1","Non-Canonical","3","5","1111_1","0741408725.mp3"
